,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
A1BG,0,0,0,0.790658,0,0.210169,0.128706,1.33087,5.28041,0,0,0,0.56095,0,0.330994,0,0,27.862,10.832,3.94103,1.20856,1.29404,7.28178,0.272213,12.8414,0,1.3367
A1BG-AS1,0,76.1336,0,0,0,0,0,0,0.0402743,0,0,0,0.144959,0,0,0,0,0,0.682807,0,0,0,0,0,0,0,0.500976
A1CF,0,0,0,9.77443,0,0,0,0.0501423,0,0,0,0,0.530821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,485.266,218.777,196.47,146.361,348.398,19.76,677.781,99.9756,335.229,0,0,0,2.83184,0,0,0,0,0,0,0,0,72.0706,28.8065,0,0,82.6577,24.7857
A2M-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0.283726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0.0441072,0,0.0308208,0.54278,0.439605,0.0875823,0,0,0,2.02798,0,0,0,0,0,3.15006,7.65536,0,0.278139,5.31568,0.15696,0.151595,0.50557,1.20179
A2MP1,0,0,0,0.0327688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85204,0,0,0,6.9562
A4GALT,0,0,0,0,35.2454,0,0,0,0,0,0,2651.92,0,0,14.1934,0,0,0,0.220574,0,0.268086,7.22139,0.196527,0.354775,0.584032,0.311487,0.360689
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0.171187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,0.823034,137.571,0,38.3073,247.331,2.03707,0.322929,0.843792,43.5238,0.659852,0,0,0,0,4.44103,17.3092,0,0,0,0,0,0,0,0,0,0,45.7708
AACS,0.0151857,0.036204,0.0632991,1.28831,155.034,3.89638,0.150764,5.63247,3.18059,0,0.108608,0,5.43009,0.499596,0.14403,0.269455,7.22987,15.5616,57.366,5.53155,14.4392,14.1828,92.0593,6.08657,6.71816,7.88977,56.1628
AACSP1,0,0,0,0,0.12919,0,0,0,0,0,0,0,0.0892076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0.487886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0.202274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0.126701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,12.527,0,0,0,0.0917854,0.0300546,0,0,0,0.162294,0,0,0,0,0,0.261208,0,10.889,0,0,0,0,0,3.79489
AAED1,2.72143,51.8276,30.6438,0.208444,23.9014,0.491731,17.5881,1.63408,9.45003,0.193629,42.4408,0,0.665744,0.0843987,226.187,0.0933487,11.5597,8.99056,20.7383,9.45778,12.1149,245.835,36.2681,72.051,0.718742,14.6115,11.262
AAGAB,0.106126,137.334,0,0.34931,0,0.567246,53.3108,52.566,1.69051,0,0,0,0.105562,0.401184,28.8922,0,0,0,0.484064,0,0,0,0,891.749,0,0,27
AAK1,0.0209083,0.0661772,0.0169047,0.302596,159.375,1.00179,0.814616,0.663037,6.98351,0,0.175177,0,2.39055,0,1016.44,2398.88,0.943164,0.952245,29.6098,6.4278,2.5208,0.0921444,4.3623,0.575921,0.773266,0,195.786
AAMDC,19.3356,1.01573,0.753682,21.7866,625.822,567.053,54.7699,2.88737,8.52882,1.0146,4.41087,45.7044,4.13403,1384.71,1037.13,6.8879,11.3592,1.81849,75.1669,67.1355,129.246,7.97634,75.5621,1484.51,23.3207,2.65437,132.954
AAMP,654.581,1.01189,0.663152,287.144,457.913,1251.02,1156,127.25,75.8157,0,159.101,0,0,0,0.339124,156.889,0,0,0,0,0,0,0,0,0,0,53.1069
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0.175929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2,30.5378,0,26.6846,100.103,0,0.245977,0,0.141147,39.2495,0,0,0,0.246607,0,0,0,0,0,4.39915,0,0,0,1.10067,0,0,0,32.4022
AARD,0,0,0,0.301488,0,0,0.183582,1.38963,0.789116,0,0,0,1.30693,6.0547,0.147347,1.6291,0.152205,5.97194,3.72498,0.202978,1.70646,0.144804,33.4197,0,1.36581,0,0.563199
AARS,3.26425,0.326758,181.361,54.8027,32.0178,824.626,0.515588,145.806,77.5187,0,0,0,0,0,0,16.9501,0,0,0,0,0,0,0,0,0,0,46.3626
AARS2,3.90881,36.4626,2.60431,0.260323,0.0957029,0.236081,0.196347,0.798384,0.178385,0.167071,0.29678,0,0.160549,0,1.70683,0,0.533665,9.36583,5.84358,0.342117,0,4.20388,4.56035,2.00808,0,0,11.8933
AARSD1,0.328913,0.401482,0.297183,73.9751,0,0.844147,49.2391,132.206,0.495099,0,214.87,0,1.28766,336.598,10.1772,67.1916,0,6.19739,8.79262,3.82558,1.15772,0,9.1958,0,131.983,0.503585,374.874
AASDH,0,0,0,0,0,0,0,0,0,0,0,0,1.95826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
