"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009060","aerobic respiration","64/2428","187/18800",4.67454533564559e-14,9.93347650564281e-11,7.87896400457896e-11,"3417/27069/30968/6391/4191/4609/4713/29103/6472/4436/8801/7386/8803/54205/50/847/387/9377/983/4190/4715/7384/4714/9650/1329/4704/4706/4726/1537/2647/1337/29796/4700/4711/4720/7415/65018/27089/4709/205327/5160/374291/6392/92259/1347/7381/1327/3421/4728/9167/4716/4725/4694/4710/1350/891/51142/1737/158/6389/4695/1738/4708/55967",64
"BP","GO:0061077","chaperone-mediated protein folding","35/2428","70/18800",6.84471236089111e-14,9.93347650564281e-11,7.87896400457896e-11,"80331/3309/3337/3312/972/51303/54788/3336/10808/5479/6950/10574/126393/10575/2288/23753/3303/1457/7203/3304/5824/6388/9601/10728/2286/3313/908/27348/10131/3310/27433/6767/10049/3300/22948",35
"BP","GO:0042773","ATP synthesis coupled electron transport","41/2428","92/18800",7.43234191549412e-14,9.93347650564281e-11,7.87896400457896e-11,"27069/6391/4713/29103/7386/54205/9377/983/4715/4714/1329/4704/4706/4726/1537/1337/29796/4700/4711/4720/65018/27089/4709/374291/6392/7381/1327/4728/9167/4716/4725/4694/4710/1350/891/51142/6389/4695/1738/4708/55967",41
"BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","41/2428","92/18800",7.43234191549412e-14,9.93347650564281e-11,7.87896400457896e-11,"27069/6391/4713/29103/7386/54205/9377/983/4715/4714/1329/4704/4706/4726/1537/1337/29796/4700/4711/4720/65018/27089/4709/374291/6392/7381/1327/4728/9167/4716/4725/4694/4710/1350/891/51142/6389/4695/1738/4708/55967",41
"BP","GO:0006457","protein folding","69/2428","212/18800",8.11823839951194e-14,9.93347650564281e-11,7.87896400457896e-11,"10130/80331/3309/3337/3329/9530/3312/3301/972/51303/54788/3336/567/10808/10283/5479/10549/6950/5034/10574/3998/126393/3326/10575/2923/7411/10598/2288/23753/7184/3303/1457/81562/7203/2896/3304/5824/6388/131118/9601/10728/11140/51726/2286/55664/3313/908/5768/5480/80273/811/81572/23071/27348/10131/51398/10465/5478/8195/3310/27433/7841/131474/7265/6767/10049/3300/22948/5611",69
"BP","GO:0046034","ATP metabolic process","81/2428","273/18800",1.76695567964703e-13,1.80170580801342e-10,1.4290641549426e-10,"481/3692/27069/226/11277/30968/6391/80201/4609/4713/7167/29103/2597/6472/2203/4436/7386/3312/54205/3939/2023/387/9377/142/983/5315/4715/5236/3643/7384/4714/1329/4704/54209/7040/4706/4726/1537/7114/1337/3303/29796/4700/4711/2026/204/4720/7415/65018/3304/5230/27089/5211/4709/55022/205327/374291/2027/6392/1347/7381/3101/1327/318/4728/9167/4716/4725/4694/230/4710/1350/891/51142/2821/11164/6389/4695/1738/4708/55967",81
"BP","GO:0050900","leukocyte migration","101/2428","384/18800",8.51249605966605e-13,7.43992155614812e-10,5.9011438849715e-10,"2919/7070/57402/5919/3627/682/4615/199/2629/6366/6357/3965/6288/6348/6714/6364/387695/6362/2921/6356/972/1880/928/387/3689/7412/4814/4192/6373/10563/3603/5479/6351/4323/9948/57126/4282/7852/6223/2920/102/719/26585/54209/5880/1436/2650/63940/388372/2207/29108/6280/4318/4283/6279/3655/4354/6850/56833/50848/11117/7984/3146/2683/3958/1525/5155/1236/6729/8976/2059/2185/9943/5800/3204/2833/6484/51192/811/51119/5142/998/6404/11314/1652/6387/6558/7941/3569/5478/27347/6369/64083/7474/3688/10488/391/4920/3695/6278/1893",101
"BP","GO:0006091","generation of precursor metabolites and energy","121/2428","494/18800",1.02409744013855e-12,7.83178517345956e-10,6.21195947241936e-10,"2877/3158/1535/3417/3692/27069/51071/226/2629/11277/30968/6391/80201/4191/4609/4713/7167/29103/2597/6472/2203/4436/5834/8801/7086/7386/8803/54205/10007/5226/50/3939/2023/847/387/9377/983/5315/4190/4715/5236/9572/3643/7384/5860/5499/4714/9650/1329/4704/4688/4706/1351/4726/291/1537/3620/2647/1337/29796/4700/4711/2026/23498/4720/7415/65018/5230/27089/5211/4709/10728/55022/205327/5160/374291/5019/2027/6392/3795/92259/1347/7381/3101/1327/3421/4728/10131/1528/51167/9167/4843/57019/2235/4716/8445/4725/128/4694/83931/230/37/4200/4710/1350/217/891/51142/2821/1536/1737/10063/158/6389/4695/1738/4708/51/55847/1345/55967",121
"BP","GO:0019882","antigen processing and presentation","43/2428","107/18800",1.43010262590578e-12,9.72151985032395e-10,7.71084573733993e-10,"3122/3136/10437/2629/3118/11277/6366/968/1512/3108/3115/3135/3127/10890/972/3119/567/3113/3109/54209/563/1509/2923/2207/29108/3117/5720/51762/23180/3105/55080/3123/1236/5870/11021/3120/811/10288/1520/5696/925/3107/57705",43
"BP","GO:0022613","ribonucleoprotein complex biogenesis","112/2428","448/18800",1.78564758233431e-12,1.09245919087213e-09,8.66508984690651e-10,"1207/3692/10436/51116/9045/6732/26284/6628/28987/84946/9733/3669/5901/6175/9221/84128/22827/6134/8450/6606/2752/55011/54555/11052/6431/26574/10885/7520/6223/55661/6426/56949/3326/6129/51081/51602/26156/6122/51010/23160/705/57050/23481/9092/1736/26121/6194/23521/96764/10813/5036/10291/88745/1983/51388/4869/6125/8451/10728/25980/56915/79869/22803/57418/84154/5728/1653/81887/6637/6607/54865/23451/55695/22868/51119/10969/8559/54496/23246/51729/54512/10772/5822/27079/11171/55006/51340/117246/55636/2971/9188/55651/8894/28985/90441/51491/115416/4736/10200/10171/9136/25804/11224/55003/6208/26747/10607/92856/6147/29777/7458/6201",112
"BP","GO:0006119","oxidative phosphorylation","50/2428","139/18800",3.27668458608089e-12,1.82243239069481e-09,1.44550391787875e-09,"27069/30968/6391/4609/4713/29103/6472/4436/7386/54205/387/9377/983/4715/7384/4714/1329/4704/4706/4726/1537/1337/29796/4700/4711/4720/7415/65018/27089/4709/205327/374291/6392/1347/7381/1327/4728/9167/4716/4725/4694/4710/1350/891/51142/6389/4695/1738/4708/55967",50
"BP","GO:0072594","establishment of protein localization to organelle","108/2428","431/18800",3.82863471585577e-12,1.95196559930047e-09,1.54824614386799e-09,"4074/3728/53371/3838/7855/3309/968/4321/8878/9709/56993/29103/10055/5195/130617/7805/3329/9972/10204/9530/5901/3312/10890/3301/9221/51569/9927/10953/10075/6731/3059/23471/983/55011/6396/28972/6950/84313/29082/55374/183/10574/1459/9695/3998/5880/7040/3326/10575/10134/6726/10952/51762/1434/29927/1736/9789/999/23534/63928/7203/6850/7251/90637/65018/26517/79778/55612/5824/131118/5828/7341/6729/7879/10456/23636/6727/1386/9131/808/908/8841/80273/26521/100287932/140823/3002/6747/4000/8504/1026/29107/7332/51715/27429/23480/4836/6469/6728/5898/9512/23513/4285/51025/8031/131474/23163/22948",108
"BP","GO:0045333","cellular respiration","69/2428","231/18800",7.72828741160368e-12,3.6370509526301e-09,2.88481011882534e-09,"3417/27069/2629/11277/30968/6391/4191/4609/4713/29103/6472/4436/8801/7386/8803/54205/50/847/387/9377/983/4190/4715/7384/4714/9650/1329/4704/4706/4726/1537/2647/1337/29796/4700/4711/4720/7415/65018/27089/4709/205327/5160/374291/6392/92259/1347/7381/1327/3421/4728/10131/9167/4843/4716/4725/4694/4710/1350/891/51142/1737/158/6389/4695/1738/4708/55847/55967",69
"BP","GO:0019646","aerobic electron transport chain","36/2428","84/18800",1.0010376077057e-11,4.3745343456739e-09,3.46976193347614e-09,"6391/4713/29103/7386/54205/9377/4715/4714/1329/4704/4706/4726/1537/1337/29796/4700/4711/4720/65018/27089/4709/374291/6392/7381/1327/4728/9167/4716/4725/4694/4710/1350/6389/4695/1738/4708",36
"BP","GO:2001242","regulation of intrinsic apoptotic signaling pathway","56/2428","171/18800",1.33302204029509e-11,5.43695256168357e-09,4.31244323211253e-09,"3065/5329/960/4609/9709/5366/6714/7494/3301/972/6188/4841/7009/2023/7314/6423/142/51060/5034/4282/53832/27035/54209/10134/29108/6280/4318/3190/6279/4976/3303/138065/10525/599/114971/65018/7417/10625/6477/9368/80237/598/4582/22954/10131/6387/27429/5478/8575/10955/1984/10488/84447/54929/666/6201",56
"BP","GO:2001233","regulation of apoptotic signaling pathway","95/2428","370/18800",1.78563812847526e-11,6.82783379375729e-09,5.41565248175722e-09,"81618/27069/292/8915/3065/5329/960/1512/4609/9709/5366/2017/6714/7494/5518/3301/972/2950/2773/6188/4841/7009/2023/5716/7314/6423/142/51060/7001/55011/26574/5034/4282/4150/5499/53832/183/51330/27035/1459/54209/2923/10134/29108/6280/4318/291/3190/6279/4976/3303/10449/1457/138065/55437/3655/10525/599/114971/65018/3304/7417/10625/6477/3958/7046/80196/9368/1499/80237/5728/598/4582/5925/4000/22954/147138/10131/6387/27429/1075/5478/8575/54978/10955/1984/10488/2139/28978/84447/1437/1495/54929/666/6201",95
"BP","GO:0030595","leukocyte chemotaxis","69/2428","236/18800",2.28277845866018e-11,8.21531682946058e-09,6.516166374256e-09,"2919/57402/5919/3627/682/199/6366/6357/3965/6288/6348/6364/387695/6362/2921/6356/972/1880/3689/4814/4192/6373/10563/3603/5479/6351/4282/7852/6223/2920/102/719/26585/5880/1436/63940/388372/2207/6280/4283/6279/4354/6850/56833/7984/3146/3958/1525/5155/1236/6729/2185/9943/5800/51192/811/51119/5142/1652/6387/6558/7941/3569/5478/27347/6369/7474/10488/6278",69
"BP","GO:0022904","respiratory electron transport chain","42/2428","113/18800",5.21406771608414e-11,1.71225893390599e-08,1.35811732167488e-08,"27069/2629/6391/4713/29103/7386/54205/9377/983/4715/4714/1329/4704/4706/4726/1537/1337/29796/4700/4711/4720/65018/27089/4709/374291/6392/7381/1327/4728/9167/4716/4725/4694/4710/1350/891/51142/6389/4695/1738/4708/55967",42
"BP","GO:0022900","electron transport chain","54/2428","167/18800",5.31757432890058e-11,1.71225893390599e-08,1.35811732167488e-08,"2877/1535/27069/2629/6391/4713/29103/7386/54205/9377/983/4715/5860/4714/1329/4704/4688/4706/4726/1537/3620/1337/29796/4700/4711/23498/4720/65018/27089/4709/374291/6392/7381/1327/4728/1528/9167/57019/4716/4725/128/4694/4200/4710/1350/217/891/51142/1536/6389/4695/1738/4708/55967",54
"BP","GO:0060326","cell chemotaxis","83/2428","315/18800",8.40707186367824e-11,2.57172328309917e-08,2.03982112060825e-08,"2919/57402/5919/3627/682/199/6366/6357/3965/6288/6348/6364/387695/6362/2921/6356/972/1880/9034/3689/7412/3219/4814/4192/6373/10563/10663/3603/5479/6351/4282/7852/6223/2920/102/719/26585/5880/1436/63940/4233/5156/388372/2207/6280/7114/4283/6279/4354/1839/6850/56833/5159/7984/3146/3958/1525/5155/64094/1236/6729/2185/9943/5800/2833/51192/811/51119/5142/57175/1652/6387/6558/7941/3569/5478/27347/6369/27237/7474/10488/391/6278",83
"BP","GO:0016032","viral process","101/2428","418/18800",1.7850068189263e-10,5.2003198658053e-08,4.12475259912294e-08,"4938/682/56649/1104/7153/1508/3838/11074/3065/3965/51534/6348/3725/6732/9972/3669/5901/3312/8519/972/5359/3956/6772/1072/79581/3429/983/5868/28972/10663/3643/55741/9636/26986/5479/290/6351/5034/7852/29082/10410/1436/3326/5119/3694/10581/6737/7812/9798/4061/8815/3303/27243/3276/5297/6993/7251/7415/50848/3304/10533/558/8673/3123/8638/5886/1525/7879/8664/598/27350/6484/8411/7342/6597/55054/998/6404/22954/6510/10015/7293/5987/3434/10465/5478/8812/5861/131578/3688/942/28985/6590/7841/27336/8724/6780/3695/9217/3949/53840",101
"BP","GO:0002181","cytoplasmic translation","48/2428","146/18800",3.254299698939e-10,8.92773636970037e-08,7.08123822100768e-08,"9045/55854/6175/6188/1802/10492/6134/6138/6132/7884/57409/5315/26986/6223/6142/6129/6122/7812/6194/10480/23521/7555/1983/6160/6125/8664/6173/1974/6137/6222/6203/6205/6144/285381/8894/28985/6158/4736/5936/6204/6141/6124/11224/6208/6147/6228/7458/6201",48
"BP","GO:0097529","myeloid leukocyte migration","65/2428","229/18800",3.41588759004283e-10,8.92773636970037e-08,7.08123822100768e-08,"2919/57402/5919/3627/682/4615/199/6366/6357/6288/6348/6364/6362/2921/6356/972/928/3689/4192/6373/10563/5479/6351/4323/9948/57126/4282/6223/2920/719/26585/54209/5880/1436/388372/2207/6280/4283/6279/4354/6850/56833/11117/7984/3146/3958/1525/5155/1236/6729/2185/5800/51192/5142/11314/1652/6387/7941/3569/5478/6369/10488/391/4920/6278",65
"BP","GO:0002396","MHC protein complex assembly","15/2428","20/18800",3.64814333511784e-10,8.92773636970037e-08,7.08123822100768e-08,"3122/3118/3108/3115/3127/3119/567/3113/3109/2923/3117/55080/3123/3120/811",15
"BP","GO:0002501","peptide antigen assembly with MHC protein complex","15/2428","20/18800",3.64814333511784e-10,8.92773636970037e-08,7.08123822100768e-08,"3122/3118/3108/3115/3127/3119/567/3113/3109/2923/3117/55080/3123/3120/811",15
