"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05012","Parkinson disease","99/1355","266/8165",1.41690208157037e-16,4.70411491081362e-14,3.47513878953574e-14,"201266/1965/292/3309/836/5686/9246/6391/4713/7494/55630/7386/7416/54205/805/2773/1616/10383/5707/9927/7314/9377/4715/7384/27173/1340/4714/5713/1329/4704/3799/203068/4706/1351/4726/291/1537/5688/7277/1337/5705/29796/7295/4700/4711/1349/7316/4720/84790/65018/7417/23516/7318/27089/7317/55334/4709/5704/374291/10376/5684/6392/5717/25800/598/808/1347/5689/3710/7381/1327/7345/4728/5708/5714/5687/7332/10131/818/4128/27429/9167/4716/4725/5685/4694/64116/4710/1350/5691/7846/10213/6389/4695/5690/4708/5693/1345/55967",99
"hsa05020","Prion disease","90/1355","273/8165",1.17167092671423e-11,1.94497373834563e-09,1.43683855749693e-09,"713/1535/714/712/1958/5603/1965/292/3309/836/5686/6391/4713/7386/3312/7416/54205/10383/5707/9377/4715/7384/1340/4714/5713/1329/4704/1459/5880/4688/3799/203068/4706/1351/4726/291/1537/5688/7277/1337/5705/3303/29796/1457/4700/4711/1349/4720/84790/3304/7417/27089/4709/5704/374291/10376/5684/6392/5717/1386/1347/5689/3710/7381/1327/4728/5708/5714/5687/9167/3569/4716/4725/3310/5685/4694/4710/1350/10488/5691/1536/7846/10213/6389/4695/5690/4708/5693/1345/55967",90
"hsa04141","Protein processing in endoplasmic reticulum","64/1355","171/8165",2.95030149422821e-11,3.26500032027922e-09,2.41200087071991e-09,"10130/9632/80331/1965/27248/3309/3337/9709/7494/91319/578/3312/3301/6185/1650/54788/10808/23471/6396/55741/5034/8454/10483/9695/3998/23193/6500/3326/2923/10134/10952/10956/7184/29927/3303/10525/7415/10960/3304/7321/5886/9601/51726/6400/6184/811/3703/6746/6747/56681/23480/6748/3310/823/10113/23190/7841/1603/6048/7322/84447/3300/5611/55968",64
"hsa05014","Amyotrophic lateral sclerosis","104/1355","364/8165",3.41159578703993e-09,2.83162450324314e-07,2.09184689047448e-07,"2877/283/5603/53371/1965/3309/836/5686/6391/60/8878/4713/7494/9972/3181/7386/7416/54205/71/1616/10383/3178/5707/6432/847/9377/5868/6396/4715/7384/1340/4714/5713/1329/4704/3799/203068/81631/4706/1351/4726/5217/1537/5688/7277/1337/10133/5705/29796/4700/10280/5216/4711/1349/4720/7415/84790/65018/643246/27089/4709/5704/374291/10376/5684/23636/6392/5717/598/8480/1347/5689/3710/7381/1327/55255/4728/5708/29107/5714/5687/9167/4843/834/4716/4725/5861/5685/4694/29982/2878/4710/1350/5691/7846/10213/6389/4695/9217/5690/4708/5693/1345/55967",104
"hsa05415","Diabetic cardiomyopathy","67/1355","203/8165",5.08578334875259e-09,3.37696014357172e-07,2.49471056896706e-07,"1535/5603/1278/292/6391/4713/2597/7386/7416/9377/142/4715/3643/7384/1340/5499/6513/4714/183/1329/4704/5880/4688/7040/1509/4706/51660/4318/1351/4726/291/1537/1337/29796/4700/4711/1349/1281/4720/7417/1277/27089/4709/7046/9882/5160/374291/6392/5728/1347/7381/1327/4728/818/9167/4716/4725/4694/4710/1350/1536/4790/6389/4695/4708/1345/55967",67
"hsa03050","Proteasome","24/1355","46/8165",2.98595519856591e-08,1.65222854320647e-06,1.22057466888747e-06,"5686/5721/5707/5699/9491/5713/5720/51371/5688/5705/5704/5698/5684/5717/5689/5708/5714/5687/5685/5696/5691/10213/5690/5693",24
"hsa00010","Glycolysis / Gluconeogenesis","30/1355","67/8165",5.38635229409016e-08,2.03955995221418e-06,1.50671359817979e-06,"226/80201/223/7167/2597/2203/219/5106/5105/3939/2023/10327/5315/5236/3945/55276/2026/92579/5230/5211/5160/2027/3101/128/230/217/2821/1737/1738/501",30
"hsa01200","Carbon metabolism","43/1355","115/8165",5.50268890764282e-08,2.03955995221418e-06,1.50671359817979e-06,"3417/2805/226/6391/80201/4191/7167/2597/6472/2203/8801/7086/8803/5226/2653/50/2023/847/5315/4190/39/2026/5230/5211/5160/2027/6392/29968/3101/5634/3421/1892/2875/275/128/8310/230/4200/2821/1737/6389/1738/51",43
"hsa04932","Non-alcoholic fatty liver disease","53/1355","155/8165",5.52892758130351e-08,2.03955995221418e-06,1.50671359817979e-06,"5603/1965/836/6391/4713/2353/3725/7494/7386/54205/9377/10062/4715/3643/7384/1340/4714/1329/4704/7040/4706/1351/4726/1537/1337/29796/4700/4711/1349/4720/51094/27089/4709/374291/6392/1347/7381/1327/998/4728/9167/3569/4716/4725/4694/4710/1350/4790/6389/4695/4708/1345/55967",53
"hsa00190","Oxidative phosphorylation","47/1355","134/8165",1.30985201819423e-07,4.34870870040486e-06,3.21258442357112e-06,"6391/4713/7386/54205/9377/5464/4715/7384/1340/4714/1329/4704/4706/1351/4726/1537/1337/9550/29796/4700/4711/1349/4720/533/27089/4709/374291/6392/1347/7381/1327/528/4728/9167/4716/4725/4694/9296/4710/1350/10063/6389/4695/4708/1345/55967/51382",47
