"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0031341","regulation of cell killing","21/622","100/18800",1.03572634204059e-11,2.62173901728922e-08,2.34358173553797e-08,"9437/22914/3458/910/9390/3805/10125/1379/3593/3596/3594/59067/3821/4068/909/4843/56253/3824/3122/135250/259197",21
"BP","GO:0001906","cell killing","28/622","185/18800",1.71829036790607e-11,2.62173901728922e-08,2.34358173553797e-08,"9437/22914/57115/3458/910/9390/3805/10125/3811/1379/3593/3596/114771/3594/59067/3821/4068/909/4843/56253/3824/3122/135250/259197/10578/57823/3002/3500",28
"BP","GO:0002443","leukocyte mediated immunity","46/622","457/18800",1.97668184264078e-11,2.62173901728922e-08,2.34358173553797e-08,"9437/22914/1235/2623/3497/910/9390/3805/10125/3811/1379/4049/50943/3593/30009/3596/84174/5319/3594/1621/6504/59067/3821/116449/28639/4068/925/909/4843/972/56253/3824/3122/3119/135250/259197/51311/28454/57823/3002/57289/50487/3502/3500/102723168/3503",46
"BP","GO:0002449","lymphocyte mediated immunity","40/622","365/18800",3.19220769718295e-11,3.17544860677274e-08,2.83854468652136e-08,"9437/22914/1235/3497/910/9390/3805/10125/3811/1379/4049/50943/3593/30009/84174/3594/6504/59067/3821/116449/28639/4068/925/909/972/56253/3824/3122/3119/135250/259197/51311/28454/57823/3002/57289/3502/3500/102723168/3503",40
"BP","GO:0031343","positive regulation of cell killing","16/622","65/18800",2.44834399573207e-10,1.79157863406777e-07,1.60149844698218e-07,"22914/3458/910/9390/10125/3593/3594/59067/4068/909/4843/56253/3824/3122/135250/259197",16
"BP","GO:0001910","regulation of leukocyte mediated cytotoxicity","18/622","85/18800",2.70155109434698e-10,1.79157863406777e-07,1.60149844698218e-07,"9437/22914/910/9390/3805/10125/3593/3594/59067/3821/4068/909/4843/56253/3824/3122/135250/259197",18
"BP","GO:0001909","leukocyte mediated cytotoxicity","22/622","131/18800",3.33871651943065e-10,1.89782186154494e-07,1.69646964197837e-07,"9437/22914/910/9390/3805/10125/3811/3593/3594/59067/3821/4068/909/4843/56253/3824/3122/135250/259197/57823/3002/3500",22
"BP","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","15/622","58/18800",4.19804247166778e-10,2.08800137434576e-07,1.86647177786387e-07,"22914/910/9390/10125/3593/3594/59067/4068/909/4843/56253/3824/3122/135250/259197",15
"BP","GO:0002697","regulation of immune effector process","37/622","353/18800",6.29525845218832e-10,2.78320370902859e-07,2.48791559180636e-07,"9437/22914/2623/3605/3458/910/9390/3805/10125/246778/1379/4049/50943/3593/30009/3596/3594/257101/6504/51744/59067/3821/116449/4068/112744/909/114770/4843/972/56253/3824/3122/4282/135250/259197/336/50487",37
"BP","GO:0002699","positive regulation of immune effector process","30/622","248/18800",9.27574319105192e-10,3.69081821571956e-07,3.29923539395415e-07,"22914/2623/3605/3458/910/9390/3805/10125/4049/50943/3593/30009/3596/3594/6504/51744/59067/116449/4068/112744/909/4843/972/56253/3824/3122/4282/135250/259197/50487",30
"BP","GO:0002708","positive regulation of lymphocyte mediated immunity","20/622","117/18800",1.54219834396972e-09,5.57855200968684e-07,4.98668727681693e-07,"22914/910/9390/3805/10125/4049/50943/3593/30009/3594/6504/59067/116449/4068/909/56253/3824/3122/135250/259197",20
"BP","GO:0002228","natural killer cell mediated immunity","16/622","75/18800",2.37587887792603e-09,7.87801837938974e-07,7.04218835834392e-07,"9437/22914/3805/10125/3811/3593/59067/3821/116449/4068/56253/3824/135250/259197/57823/3002",16
"BP","GO:0051480","regulation of cytosolic calcium ion concentration","36/622","356/18800",2.84499793408425e-09,8.70788213824709e-07,7.78400649333657e-07,"1235/2623/2815/255061/4283/2890/10663/4987/3627/5030/2740/22953/56923/491/6547/114/1237/3596/6373/5319/1234/356/3060/10563/57113/51554/84636/779/492/59340/2903/27334/407050/643/2847/55503",36
"BP","GO:0002717","positive regulation of natural killer cell mediated immunity","11/622","32/18800",3.26409625299229e-09,9.2770278504688e-07,8.29276784876763e-07,"22914/3805/10125/3593/59067/116449/4068/56253/3824/135250/259197",11
"BP","GO:0002705","positive regulation of leukocyte mediated immunity","21/622","138/18800",5.33667005933702e-09,1.41564067774013e-06,1.26544618459648e-06,"22914/910/9390/3805/10125/4049/50943/3593/30009/3594/6504/59067/116449/4068/909/4843/56253/3824/3122/135250/259197",21
"BP","GO:0002715","regulation of natural killer cell mediated immunity","13/622","50/18800",5.78349855792468e-09,1.43828379762389e-06,1.2856869491597e-06,"9437/22914/3805/10125/3593/59067/3821/116449/4068/56253/3824/135250/259197",13
"BP","GO:0006959","humoral immune response","33/622","317/18800",6.3942622051713e-09,1.44898664297411e-06,1.29525426029008e-06,"1235/57115/3605/3497/3458/3848/4283/5197/3627/1379/4049/6407/6373/5319/6441/114771/730249/10563/8346/28639/4068/112744/140832/3119/10578/28454/57289/5068/3502/3500/102723168/3503/1755",33
"BP","GO:0002833","positive regulation of response to biotic stimulus","24/622","180/18800",6.55485287095603e-09,1.44898664297411e-06,1.29525426029008e-06,"22914/3605/93978/9390/3805/10125/3593/730249/115362/345611/149628/29126/59067/116449/4068/112744/56253/3824/4282/4321/135250/259197/51311/9447",24
"BP","GO:0042267","natural killer cell mediated cytotoxicity","15/622","72/18800",1.06175851313128e-08,2.22354585460494e-06,1.98763546585629e-06,"9437/22914/3805/10125/3811/3593/59067/3821/4068/56253/3824/135250/259197/57823/3002",15
"BP","GO:0002706","regulation of lymphocyte mediated immunity","23/622","175/18800",1.78462094517211e-08,3.55050337041992e-06,3.17380745986135e-06,"9437/22914/910/9390/3805/10125/1379/4049/50943/3593/30009/3594/6504/59067/3821/116449/4068/909/56253/3824/3122/135250/259197",23
"BP","GO:0002703","regulation of leukocyte mediated immunity","27/622","236/18800",2.14359084790545e-08,3.8067539387023e-06,3.40287074479837e-06,"9437/22914/2623/910/9390/3805/10125/1379/4049/50943/3593/30009/3596/3594/6504/59067/3821/116449/4068/909/4843/56253/3824/3122/135250/259197/50487",27
"BP","GO:0042269","regulation of natural killer cell mediated cytotoxicity","12/622","46/18800",2.15072179162874e-08,3.8067539387023e-06,3.40287074479837e-06,"9437/22914/3805/10125/3593/59067/3821/4068/56253/3824/135250/259197",12
"BP","GO:0006874","cellular calcium ion homeostasis","40/622","456/18800",2.20043580271809e-08,3.8067539387023e-06,3.40287074479837e-06,"1235/2623/89885/2815/255061/4283/2890/10663/4987/3627/79054/5030/2740/22953/56923/491/6547/114/1237/3596/6373/5319/1234/356/11330/3060/10563/1816/57113/51554/84636/779/492/59340/2903/27334/407050/643/2847/55503",40
"BP","GO:0001819","positive regulation of cytokine production","41/622","475/18800",2.30323678385692e-08,3.81857465123611e-06,3.41343732133882e-06,"55801/22914/64109/3605/3458/93978/79400/3805/442898/10125/201633/246778/3620/4049/50943/3593/30009/3596/5319/3594/914/115362/6504/149628/51744/29126/59067/116449/112744/406937/89780/4843/972/56253/4282/4321/51311/336/5004/50487/9447",41
"BP","GO:0034341","response to interferon-gamma","20/622","140/18800",3.69528920513971e-08,5.88142229890036e-06,5.25742409438614e-06,"10537/3458/388646/4435/163351/4261/6370/115361/3593/2633/356/3594/730249/115362/345611/6846/6367/4843/972/10435",20
"BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","32/622","325/18800",4.10513010458048e-08,6.28242795620221e-06,5.61588446290585e-06,"1235/2623/2815/255061/4283/10663/4987/3627/5030/2740/22953/56923/6547/114/1237/3596/6373/5319/1234/356/3060/10563/51554/84636/779/59340/2903/27334/407050/643/2847/55503",32
"BP","GO:0055074","calcium ion homeostasis","40/622","468/18800",4.48822887017515e-08,6.61431950904701e-06,5.91256349018395e-06,"1235/2623/89885/2815/255061/4283/2890/10663/4987/3627/79054/5030/2740/22953/56923/491/6547/114/1237/3596/6373/5319/1234/356/11330/3060/10563/1816/57113/51554/84636/779/492/59340/2903/27334/407050/643/2847/55503",40
