FPKM,methy,cor,pvalue,Regulation
ALDH2,ALDH2,-0.179447938636766,0.00362814879016489,negative
ARHGAP30,ARHGAP30,-0.558252854253986,8.7307538722766e-23,negative
AXIN1,AXIN1,-0.20917893819972,0.000671720396932037,negative
AZGP1,AZGP1,-0.481718573376605,1.4359739280425e-16,negative
BEX2,BEX2,-0.41514417400271,2.69480758898322e-12,negative
C19orf57,C19orf57,-0.17858168713238,0.00379725340706323,negative
C2CD2L,C2CD2L,-0.188260183530762,0.00225666516208463,negative
CA12,CA12,-0.195546273295752,0.00149997991461775,negative
CAPS,CAPS,-0.484011466742049,9.83438047971729e-17,negative
CARS2,CARS2,-0.179619483271034,0.00359547983988562,negative
CASP1,CASP1,-0.292894796276618,1.47080643752488e-06,negative
CBLN1,CBLN1,-0.241706845614911,7.98668861750639e-05,negative
CCDC8,CCDC8,-0.295853898794945,1.1382492100556e-06,negative
CCR7,CCR7,-0.237798150397312,0.000104845188005338,negative
CD38,CD38,-0.260212386909223,2.0695895332186e-05,negative
CD3D,CD3D,-0.424630353068411,7.53634920473156e-13,negative
CD3E,CD3E,-0.274111863676507,7.00552577844376e-06,negative
CD74,CD74,-0.199730484681819,0.00117861803466924,negative
CD84,CD84,-0.309551929265715,3.34582703024272e-07,negative
CLDN10,CLDN10,-0.351117606030299,5.47713949761845e-09,negative
CLDN2,CLDN2,-0.574943415502891,2.29934475613349e-24,negative
CLGN,CLGN,-0.159917834215874,0.00965835977220777,negative
CLSTN2,CLSTN2,-0.127258558893913,0.0399353695809531,negative
CNDP2,CNDP2,-0.20696730356309,0.000767914160102979,negative
COL17A1,COL17A1,-0.414044252074269,3.11583222968294e-12,negative
COMMD6,COMMD6,-0.151616419228812,0.0142115168952506,negative
CPNE1,CPNE1,-0.367314289769853,9.30139230904859e-10,negative
CUL4A,CUL4A,-0.298873063751115,8.73714669775271e-07,negative
DDR1,DDR1,-0.361533345190105,1.77150708607491e-09,negative
DDX27,DDX27,-0.178197909043393,0.00387442324331294,negative
DENND2D,DENND2D,-0.404628192183349,1.05675018594434e-11,negative
DLX3,DLX3,-0.294713562462855,1.25684976840945e-06,negative
DOCK5,DOCK5,-0.178726374134956,0.00376852218068416,negative
DOK2,DOK2,-0.339866938804732,1.77173982025003e-08,negative
ELF1,ELF1,-0.216439607857389,0.000428721471383904,negative
ELF5,ELF5,-0.630783909024941,2.29447801189009e-30,negative
ENO1,ENO1,-0.139871253419552,0.0238234952180662,negative
EPHX1,EPHX1,-0.261813895550343,1.83233530367015e-05,negative
ESCO2,ESCO2,-0.157650647479918,0.0107516304652475,negative
ETV7,ETV7,-0.251925267962069,3.83771521101849e-05,negative
F11R,F11R,-0.211206652912075,0.000593437856402219,negative
F2RL3,F2RL3,-0.196879634865108,0.00138977293018943,negative
FADS6,FADS6,-0.131770344612382,0.033346695034511,negative
FAM3A,FAM3A,-0.141253944681905,0.0224580563137425,negative
FGF20,FGF20,-0.140550332018078,0.0231441948405044,negative
FOLR1,FOLR1,-0.227218615453982,0.000214122650406678,negative
GAPDH,GAPDH,-0.1388756062405,0.0248505246009699,negative
GDI1,GDI1,-0.142606415722429,0.0211884313496861,negative
GLB1L,GLB1L,-0.342403709982365,1.36520384310244e-08,negative
GNG4,GNG4,-0.437096260212924,1.32785486419035e-13,negative
GRHL3,GRHL3,-0.141900114875614,0.0218434911763153,negative
GSDMB,GSDMB,-0.181748806358478,0.00321154086606622,negative
GUCY2C,GUCY2C,-0.189266869215031,0.00213467533959176,negative
HAND1,HAND1,-0.136958932480183,0.0269352582180103,negative
HBA2,HBA2,-0.163433467180441,0.00815736441011988,negative
HLA-DPA1,HLA-DPA1,-0.354440737427662,3.8377380609783e-09,negative
HMGCS2,HMGCS2,-0.396616990823678,2.89945113980341e-11,negative
HSPA1A,HSPA1A,-0.347237031045495,8.25449688827569e-09,negative
IFT88,IFT88,-0.231628358958864,0.00015963356010158,negative
IGFBP1,IGFBP1,-0.141624689371824,0.0221036431514906,negative
INSL4,INSL4,-0.261466622022085,1.88148365864014e-05,negative
