model,gene,auc
1,TRIP10 + NGFR + SPAG4,0.669545576027448
2,TRIP10 + NGFR + RSPO4,0.649996962170293
3,TRIP10 + NGFR + GDI1,0.659773645761449
4,TRIP10 + NGFR + SLC48A1,0.70410432194825
5,TRIP10 + NGFR + FOLR1,0.646915925608092
6,TRIP10 + NGFR + SRMS,0.672118759296564
7,TRIP10 + SPAG4 + RSPO4,0.628764397401029
8,TRIP10 + SPAG4 + GDI1,0.622596657663534
9,TRIP10 + SPAG4 + SLC48A1,0.667247903161064
10,TRIP10 + SPAG4 + FOLR1,0.610118318838178
11,TRIP10 + SPAG4 + SRMS,0.622596657663534
12,TRIP10 + RSPO4 + GDI1,0.612552076391686
13,TRIP10 + RSPO4 + SLC48A1,0.666300057524548
14,TRIP10 + RSPO4 + FOLR1,0.605924613590559
15,TRIP10 + RSPO4 + SRMS,0.637132208799059
16,TRIP10 + GDI1 + SLC48A1,0.652151821146133
17,TRIP10 + GDI1 + FOLR1,0.625840013020888
18,TRIP10 + GDI1 + SRMS,0.622616913610274
19,TRIP10 + SLC48A1 + FOLR1,0.641935150853152
20,TRIP10 + SLC48A1 + SRMS,0.67121408477001
21,TRIP10 + FOLR1 + SRMS,0.620448667785574
22,NGFR + SPAG4 + RSPO4,0.610656504397014
23,NGFR + SPAG4 + GDI1,0.657664315691915
24,NGFR + SPAG4 + SLC48A1,0.67551237235057
25,NGFR + SPAG4 + FOLR1,0.620507071644091
26,NGFR + SPAG4 + SRMS,0.644012820282436
27,NGFR + RSPO4 + GDI1,0.631069739078024
28,NGFR + RSPO4 + SLC48A1,0.644963829446545
29,NGFR + RSPO4 + FOLR1,0.577366678974075
30,NGFR + RSPO4 + SRMS,0.624591959814703
31,NGFR + GDI1 + SLC48A1,0.673932935429462
32,NGFR + GDI1 + FOLR1,0.64213393219465
33,NGFR + GDI1 + SRMS,0.645310005532197
34,NGFR + SLC48A1 + FOLR1,0.651867480617748
35,NGFR + SLC48A1 + SRMS,0.688450081815983
36,NGFR + FOLR1 + SRMS,0.633949763708457
37,SPAG4 + RSPO4 + GDI1,0.634304239272131
38,SPAG4 + RSPO4 + SLC48A1,0.639308289850406
39,SPAG4 + RSPO4 + FOLR1,0.591453320394573
40,SPAG4 + RSPO4 + SRMS,0.612329236105515
41,SPAG4 + GDI1 + SLC48A1,0.671726230330452
42,SPAG4 + GDI1 + FOLR1,0.637121961730792
43,SPAG4 + GDI1 + SRMS,0.641627084517748
44,SPAG4 + SLC48A1 + FOLR1,0.632620521016029
45,SPAG4 + SLC48A1 + SRMS,0.658638802501177
46,SPAG4 + FOLR1 + SRMS,0.619083300989341
47,RSPO4 + GDI1 + SLC48A1,0.649052369725476
48,RSPO4 + GDI1 + FOLR1,0.61312901322582
49,RSPO4 + GDI1 + SRMS,0.61990618700136
50,RSPO4 + SLC48A1 + FOLR1,0.616028767585471
51,RSPO4 + SLC48A1 + SRMS,0.655360947064733
52,RSPO4 + FOLR1 + SRMS,0.599532167321983
53,GDI1 + SLC48A1 + FOLR1,0.645116055951137
54,GDI1 + SLC48A1 + SRMS,0.662795598997235
55,GDI1 + FOLR1 + SRMS,0.622731810729033
56,SLC48A1 + FOLR1 + SRMS,0.645664247036771
