model,gene,auc,cluster,numGenes
1,TRIP10,0.591785249,cluster_1,1
2,NGFR,0.533839661,cluster_1,1
3,SPAG4,0.580232975,cluster_1,1
4,RSPO4,0.522455071,cluster_1,1
5,GDI1,0.60703588,cluster_1,1
6,SLC48A1,0.613987177,cluster_1,1
7,FOLR1,0.531756741,cluster_1,1
8,SRMS,0.597083507,cluster_1,1
9,TRIP10 + NGFR,0.642926022,cluster_1,2
10,TRIP10 + SPAG4,0.622596658,cluster_3,2
11,TRIP10 + RSPO4,0.612552076,cluster_3,2
12,TRIP10 + GDI1,0.624175365,cluster_1,2
13,TRIP10 + SLC48A1,0.652151821,cluster_3,2
14,TRIP10 + FOLR1,0.590586131,cluster_1,2
15,TRIP10 + SRMS,0.622616914,cluster_3,2
16,NGFR + SPAG4,0.611033472,cluster_1,2
17,NGFR + RSPO4,0.545408377,cluster_1,2
18,NGFR + GDI1,0.629375323,cluster_1,2
19,NGFR + SLC48A1,0.645912128,cluster_1,2
20,NGFR + FOLR1,0.576818452,cluster_1,2
21,NGFR + SRMS,0.624308341,cluster_1,2
22,SPAG4 + RSPO4,0.580684038,cluster_1,2
23,SPAG4 + GDI1,0.638640985,cluster_1,2
24,SPAG4 + SLC48A1,0.637609291,cluster_1,2
25,SPAG4 + FOLR1,0.5895609,cluster_1,2
26,SPAG4 + SRMS,0.614146183,cluster_1,2
27,RSPO4 + GDI1,0.609630517,cluster_1,2
28,RSPO4 + SLC48A1,0.622853816,cluster_1,2
29,RSPO4 + FOLR1,0.550510107,cluster_1,2
30,RSPO4 + SRMS,0.596925657,cluster_1,2
31,GDI1 + SLC48A1,0.648562256,cluster_1,2
32,GDI1 + FOLR1,0.614963303,cluster_1,2
33,GDI1 + SRMS,0.618925206,cluster_1,2
34,SLC48A1 + FOLR1,0.612667858,cluster_1,2
35,SLC48A1 + SRMS,0.653613739,cluster_1,2
36,FOLR1 + SRMS,0.598921622,cluster_1,2
37,TRIP10 + NGFR + SPAG4,0.669545576,cluster_3,3
38,TRIP10 + NGFR + RSPO4,0.649996962,cluster_3,3
39,TRIP10 + NGFR + GDI1,0.659773646,cluster_3,3
40,TRIP10 + NGFR + SLC48A1,0.704104322,cluster_3,3
41,TRIP10 + NGFR + FOLR1,0.646915926,cluster_3,3
42,TRIP10 + NGFR + SRMS,0.672118759,cluster_3,3
43,TRIP10 + SPAG4 + RSPO4,0.628764397,cluster_3,3
44,TRIP10 + SPAG4 + GDI1,0.622596658,cluster_3,3
45,TRIP10 + SPAG4 + SLC48A1,0.667247903,cluster_3,3
46,TRIP10 + SPAG4 + FOLR1,0.610118319,cluster_3,3
47,TRIP10 + SPAG4 + SRMS,0.622596658,cluster_3,3
