model,gene,auc
1,TRIP10,0.591785249
2,NGFR,0.533839661
3,SPAG4,0.580232975
4,RSPO4,0.522455071
5,GDI1,0.60703588
6,SLC48A1,0.613987177
7,FOLR1,0.531756741
8,SRMS,0.597083507
9,TRIP10 + NGFR,0.642926022
10,TRIP10 + SPAG4,0.622596658
11,TRIP10 + RSPO4,0.612552076
12,TRIP10 + GDI1,0.624175365
13,TRIP10 + SLC48A1,0.652151821
14,TRIP10 + FOLR1,0.590586131
15,TRIP10 + SRMS,0.622616914
16,NGFR + SPAG4,0.611033472
17,NGFR + RSPO4,0.545408377
18,NGFR + GDI1,0.629375323
19,NGFR + SLC48A1,0.645912128
20,NGFR + FOLR1,0.576818452
21,NGFR + SRMS,0.624308341
22,SPAG4 + RSPO4,0.580684038
23,SPAG4 + GDI1,0.638640985
24,SPAG4 + SLC48A1,0.637609291
25,SPAG4 + FOLR1,0.5895609
26,SPAG4 + SRMS,0.614146183
27,RSPO4 + GDI1,0.609630517
28,RSPO4 + SLC48A1,0.622853816
29,RSPO4 + FOLR1,0.550510107
30,RSPO4 + SRMS,0.596925657
31,GDI1 + SLC48A1,0.648562256
32,GDI1 + FOLR1,0.614963303
33,GDI1 + SRMS,0.618925206
34,SLC48A1 + FOLR1,0.612667858
35,SLC48A1 + SRMS,0.653613739
36,FOLR1 + SRMS,0.598921622
37,TRIP10 + NGFR + SPAG4,0.669545576
38,TRIP10 + NGFR + RSPO4,0.649996962
39,TRIP10 + NGFR + GDI1,0.659773646
40,TRIP10 + NGFR + SLC48A1,0.704104322
41,TRIP10 + NGFR + FOLR1,0.646915926
42,TRIP10 + NGFR + SRMS,0.672118759
43,TRIP10 + SPAG4 + RSPO4,0.628764397
44,TRIP10 + SPAG4 + GDI1,0.622596658
45,TRIP10 + SPAG4 + SLC48A1,0.667247903
46,TRIP10 + SPAG4 + FOLR1,0.610118319
47,TRIP10 + SPAG4 + SRMS,0.622596658
48,TRIP10 + RSPO4 + GDI1,0.612552076
49,TRIP10 + RSPO4 + SLC48A1,0.666300058
50,TRIP10 + RSPO4 + FOLR1,0.605924614
51,TRIP10 + RSPO4 + SRMS,0.637132209
