Year,variable,value
1,TCGA,0.727929657062056
2,TCGA,0.702445216097974
3,TCGA,0.682451611287603
4,TCGA,0.682280988709157
5,TCGA,0.638958254687745
6,TCGA,0.599961379202902
7,TCGA,0.603299676451251
8,TCGA,0.581986732828768
9,TCGA,0.634591253136985
10,TCGA,0.62219012147114
1,GSE143985,0.810580980201233
2,GSE143985,0.76922888598115
3,GSE143985,0.818066150874763
4,GSE143985,0.812715155312256
5,GSE143985,0.812429402289616
6,GSE143985,0.796514488720622
7,GSE143985,0.791770078964759
8,GSE143985,0.754863295106728
9,GSE143985,0.731388494345813
10,GSE143985,0.706969266559069
