Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.3L.AA1B.01A.11R.A37K.07	0.121198771535955	0	0.00816701042241966	0.0598525469266794	0	0.158387404703787	0.0480505951375011	0.117048156791531	0.119222804350411	0	0	0	0.00841894675841831	0.138661893508119	0.0159406969865128	0.0776184065258537	0.0352036870717954	0.00781751171044225	0.071518527534619	0.0128930400359555	0	0	0.047	0.143508788789915	1.02970225640429
TCGA.4N.A93T.01A.11R.A37K.07	0.081240241397499	0.0189908425784296	0.00634435197393376	0.212793799488423	0	0.106978240757802	0	0.0850393361397405	0.123091697768134	0	0.0840908176808205	0	0.0287092985937271	0.0330573995761294	0.0427710391975518	0.0114742693590588	0.0103045332628808	0	0	0.133418669213352	0.0216954630125176	0	0.0639999999999999	0.11744862168478	1.06158008964643
TCGA.5M.AATE.01A.11R.A41B.07	0.0670505430843003	0	0.0306417867905692	0.0631366523951358	0	0.247026750724166	0.0183817534267273	0.089338128727835	0.0229661760369956	0	0.0663782113320344	0	0	0.191695837359781	0.0388120799095037	0.0969058922040351	0.0328597832188974	0.000767362395867579	0	0.0340390423941517	0	0	0.0620000000000001	0.119606923124274	1.04183288082476
TCGA.A6.2672.01B.03R.2302.07	0.0136335087987543	0	0.0181682713138473	0.0942292662289243	0	0.214417691986542	0.0696983084196707	0.0420344112095168	0	0	0.114587032439923	0	0	0.17312169674049	0.107212598263953	0.0986005463781364	0.00034982891511134	0.00746831148979954	0	0	0.0158238060785938	0.0306547217367381	0.161	0.061964930491088	1.07090162028721
TCGA.A6.2672.01A.01R.0826.07	0.0315612409333126	0	0.00323198417108881	0.111146118712236	0	0.10612474659522	0.0581326598472016	0.08242701858685	0.0211928556412799	0	0.0549795253898964	0	0	0.170413888461604	0.0491374492562865	0.0943664674775439	0.0120925245508165	0.0215613014949725	0	0.161279190933585	0	0.0223530279481064	0.182	0.0555567299506125	1.06954797517985
TCGA.A6.2676.01A.01R.0826.07	0.0143044620787	0	0.0016302651055164	0.139300915160134	0	0.0910659492481053	0.0700457754518009	0.0529828455842161	0.0176920787338672	0	0.0644831859299987	0.0244368933418668	0	0.147431174467528	0.0951926072619663	0.174704572963209	0.0129900002526186	0	0	0.0785624183048607	0	0.0151768561156127	0.026	0.197572829971384	1.00973509919593
TCGA.A6.2677.01B.02R.A277.07	0.0964003594825025	0	0.0196517030498922	0	0	0.371761798902808	0.086861586223201	0.0127903472261305	0	0	0.0392167248242639	0	0.0304364201879234	0.0783298524895064	0.0417411308777976	0.119953458018897	0.0355448399556968	0	0.0194761818727728	0	0.0478355968886084	0	0.0620000000000001	0.119442390982714	1.03222255283187
TCGA.A6.2677.01A.01R.0821.07	0.10175306236338	0	0.0279481655390739	0	0	0.29038170467972	0.0593853545651695	0	0.0411101529430161	0	0.0349661911113379	0	0.00502018657614822	0.251243852869537	0.103892238866477	0.0294764440623078	0.0299749699697067	0	0	0.0248476764541252	0	0	0.042	0.158080783598845	1.02639120881559
TCGA.A6.2678.11A.01R.A32Z.07	0.0260437345424678	0	0.0965972431728144	0.14226124505126	0	0.157942845454709	0	0.00988044019255568	0.0434920941508116	0	0	0.0231153145676296	0	0	0.0059745420145084	0.277121871809253	0.0415381060481287	0	0.138643070981259	0	0.0373894920146034	0	0.023	0.20710343206373	0.996200695683772
TCGA.A6.2678.01A.01R.0821.07	0.0850888990204709	0	0.0173661940851901	0.107186732693411	0	0.221651930808456	0.00634424944775828	0.0329048886388761	0.0462435585214818	0	0	0.0553420498528229	0	0.150808346367388	0.0518641903725952	0.185452046102458	0.0215651571402438	0	0	0.00576371584209304	0	0.0124180411067539	0.053	0.133688168718096	1.03641432126728
TCGA.A6.2680.11A.01R.A32Z.07	0.0550200505511696	0	0.00639653252001389	0.0867905805648747	0	0.26703909896505	0	0	0.0501610423742781	0	0	0.0590980780699573	0.010232537889302	0.0313639309830586	0.0115047734990817	0.204434131058385	0	0.000953349537635117	0.204456657849199	0	0	0.0125492361379947	0.206	0.0487937742509783	1.06573525085346
TCGA.A6.2680.01A.01R.1410.07	0.0566489255159851	0	0.0403304042507328	0.0568381074373653	0	0.139391024796427	0	0	0.141219379812445	0	0.0265513149329779	0	0	0.242805432878158	0.0586309002769387	0.0542662878148756	0.0356909974019909	0	0	0.10243339838675	0.0451938264953534	0	0.0580000000000001	0.12455439851989	1.0381815130979
