sample	segment_count	included
TCGA-A6-6141-01A-11D-1770-01	52	yes
TCGA-DM-A0XF-01A-11D-A151-01	276	yes
TCGA-AY-4070-01A-01D-1427-01	341	yes
TCGA-AA-A03F-01A-11D-A080-01	52	yes
TCGA-D5-6536-01A-11D-1717-01	175	yes
TCGA-RU-A8FL-01A-11D-A36W-01	406	yes
TCGA-AA-3554-01A-01D-0824-01	47	yes
TCGA-AZ-6605-01A-11D-1834-01	213	yes
TCGA-F4-6569-01A-11D-1770-01	92	yes
TCGA-D5-6931-01A-11D-1923-01	197	yes
TCGA-CM-5341-01A-01D-1406-01	224	yes
TCGA-A6-A5ZU-01A-11D-A28F-01	128	yes
TCGA-F4-6461-01A-11D-1770-01	203	yes
TCGA-A6-2686-01A-01D-1406-01	316	yes
TCGA-G4-6302-01A-11D-1717-01	29	yes
TCGA-AA-3660-01A-01D-1717-01	286	yes
TCGA-A6-2680-01A-01D-1549-01	88	yes
TCGA-G4-6309-01A-21D-1834-01	544	yes
TCGA-AA-A01X-01A-21D-A080-01	43	yes
TCGA-A6-5656-01B-02D-A274-01	147	yes
TCGA-AA-3949-01A-01D-1018-01	64	yes
TCGA-QG-A5YV-01A-11D-A28F-01	374	yes
TCGA-F4-6805-01A-11D-1834-01	75	yes
TCGA-D5-6533-01A-11D-1717-01	419	yes
TCGA-AA-A01P-01A-21D-A080-01	50	yes
TCGA-CM-4743-01A-01D-1717-01	82	yes
TCGA-AD-A5EK-01A-11D-A28F-01	397	yes
TCGA-CM-5862-01A-01D-1649-01	242	yes
TCGA-A6-5666-01A-01D-1649-01	177	yes
TCGA-A6-2686-01A-01D-1549-01	264	yes
TCGA-DM-A1D0-01A-11D-A151-01	504	yes
TCGA-A6-6651-01A-21D-1834-01	112	yes
TCGA-CK-4951-01A-01D-1406-01	91	yes
TCGA-D5-6541-01A-11D-1717-01	88	yes
TCGA-AA-3667-01A-01D-0903-01	588	yes
TCGA-AA-A02R-01A-01D-A008-01	83	yes
