Type	ID	Name	Description	Target	MoA
cp	BRD-K38615104	A-443644	AKT inhibitor	AKT1, AKT2, AKT3, CDC42BPB, GSK3B, PHKG1, PKIA, PRKACA	AKT inhibitor
oe	ccsbBroad304_05749	A2M	-		
kd	CGS001-2	A2M	-		
kd	CGS001-16	AARS	Aminoacyl tRNA synthetases / Class II		
kd	CGS001-26574	AATF	-		
oe	ccsbBroad304_00003	ABAT	GABA turnover		
kd	CGS001-18	ABAT	GABA turnover		
kd	CGS001-19	ABCA1	ATP binding cassette transporters / subfamily A		
kd	CGS001-21	ABCA3	ATP binding cassette transporters / subfamily A		
kd	CGS001-23461	ABCA5	ATP binding cassette transporters / subfamily A		
kd	CGS001-5243	ABCB1	ATP binding cassette transporters / subfamily B		
kd	CGS001-5244	ABCB4	ATP binding cassette transporters / subfamily B		
oe	ccsbBroad304_05471	ABCB5	ATP binding cassette transporters / subfamily B		
kd	CGS001-340273	ABCB5	ATP binding cassette transporters / subfamily B		
kd	CGS001-10058	ABCB6	ATP binding cassette transporters / subfamily B		
kd	CGS001-22	ABCB7	ATP binding cassette transporters / subfamily B		
kd	CGS001-4363	ABCC1	ATP binding cassette transporters / subfamily C		
kd	CGS001-89845	ABCC10	ATP binding cassette transporters / subfamily C		
kd	CGS001-1244	ABCC2	ATP binding cassette transporters / subfamily C		
oe	ccsbBroad304_01998	ABCC3	ATP binding cassette transporters / subfamily C		
kd	CGS001-8714	ABCC3	ATP binding cassette transporters / subfamily C		
kd	CGS001-10257	ABCC4	ATP binding cassette transporters / subfamily C		
kd	CGS001-10057	ABCC5	ATP binding cassette transporters / subfamily C		
kd	CGS001-5825	ABCD3	ATP binding cassette transporters / subfamily D		
kd	CGS001-23	ABCF1	ATP binding cassette transporters / subfamily F		
oe	ccsbBroad304_07542	ABCF2	ATP binding cassette transporters / subfamily F		
kd	CGS001-10061	ABCF2	ATP binding cassette transporters / subfamily F		
oe	ccsbBroad304_03580	ABCF3	ATP binding cassette transporters / subfamily F		
kd	CGS001-55324	ABCF3	ATP binding cassette transporters / subfamily F		
kd	CGS001-9429	ABCG2	ATP binding cassette transporters / subfamily G		
kd	CGS001-64240	ABCG5	ATP binding cassette transporters / subfamily G		
oe	ccsbBroad304_08849	ABCG8	ATP binding cassette transporters / subfamily G		
kd	CGS001-64241	ABCG8	ATP binding cassette transporters / subfamily G		
oe	ccsbBroad304_07738	ABHD2	Abhydrolase domain containing		
kd	CGS001-11057	ABHD2	Abhydrolase domain containing		
oe	ccsbBroad304_03903	ABHD4	Abhydrolase domain containing		
kd	CGS001-63874	ABHD4	Abhydrolase domain containing		
kd	CGS001-57406	ABHD6	Abhydrolase domain containing		
kd	CGS001-25	ABL1	Abl family		
kd	CGS001-27	ABL2	Abl family		
cp	BRD-K56301217	ABT-737	BCL inhibitor	BCL2, BCL2L1, BCL2L2	BCL inhibitor
cp	BRD-K91623615	ABT-751	Tubulin inhibitor	TUBB	Tubulin inhibitor
cp	BRD-K93176058	AC-55649	Retinoid receptor agonist	RARB, RARA	Retinoid receptor agonist
oe	ccsbBroad304_05756	ACAA1	-		
kd	CGS001-30	ACAA1	-		
kd	CGS001-31	ACACA	Carboxylases		
kd	CGS001-32	ACACB	Carboxylases		
kd	CGS001-27034	ACAD8	-		
oe	ccsbBroad304_00006	ACADM	-		
kd	CGS001-34	ACADM	-		
oe	ccsbBroad304_05757	ACADS	-		
kd	CGS001-35	ACADS	-		
oe	ccsbBroad304_05758	ACADSB	-		
kd	CGS001-36	ACADSB	-		
kd	CGS001-38	ACAT1	Lanosterol biosynthesis pathway		
oe	ccsbBroad304_05759	ACAT2	Lanosterol biosynthesis pathway		
kd	CGS001-39	ACAT2	Lanosterol biosynthesis pathway		
kd	CGS001-64746	ACBD3	A-kinase anchor proteins		
oe	ccsbBroad304_08888	ACD	-		
kd	CGS001-65057	ACD	-		
oe	ccsbBroad304_00009	ACLY	-		
kd	CGS001-47	ACLY	-		
kd	CGS001-50	ACO2	-		
kd	CGS001-23597	ACOT9	Acyl CoA thioesterases		
kd	CGS001-2180	ACSL1	Acyl-CoA synthetase family		
kd	CGS001-2181	ACSL3	Acyl-CoA synthetase family		
kd	CGS001-2182	ACSL4	Acyl-CoA synthetase family		
oe	ccsbBroad304_05763	ACTB	-		
kd	CGS001-60	ACTB	-		
kd	CGS001-87	ACTN1	EF-hand domain containing		
oe	ccsbBroad304_00017	ACTN2	EF-hand domain containing		
oe	ccsbBroad304_00016	ACTN4	EF-hand domain containing		
kd	CGS001-10097	ACTR2	-		
oe	ccsbBroad304_02313	ACTR3	-		
kd	CGS001-10096	ACTR3	-		
oe	ccsbBroad304_05767	ACVR1	Type I receptor serine/threonine kinases		
kd	CGS001-90	ACVR1	Type I receptor serine/threonine kinases		
oe	ccsbBroad304_00020	ACY1	-		
kd	CGS001-95	ACY1	-		
oe	ccsbBroad304_00023	ADA	Adenosine turnover		
kd	CGS001-100	ADA	Adenosine turnover		
