,Erlotinib,Rapamycin,Sunitinib,Paclitaxel,Cyclopamine,AZ628,Sorafenib,Imatinib,Dasatinib,CMK,Pyrimethamine,GW843682X,Parthenolide,Bortezomib,Roscovitine,Salubrinal,Lapatinib,GSK269962A,Doxorubicin,Etoposide,Gemcitabine,Vinorelbine,Bicalutamide,QS11,Midostaurin,AZD6482,DMOG,Shikonin,Embelin,FH535,Thapsigargin,Bexarotene,Bleomycin,AUY922,Pazopanib,Tipifarnib,AS601245,AICAR,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,ATRA,Gefitinib,Vorinostat,Nilotinib,RDEA119,Temsirolimus,Bosutinib,Lenalidomide,Axitinib,Elesclomol,PLX4720,GDC0941,AZD8055,SB590885,CCT007093,CCT018159
TCGA.3L.AA1B.01A.11R.A37K.07,4.77163365380017,-0.190264106627099,3.85060946016151,-1.96658422458418,6.52380826473396,3.04689332783871,3.93728069709702,4.92122331399837,3.700975953412,4.45285081152406,4.19820844963604,-2.27329765443728,5.31069276725944,-4.17058920700015,4.87753693654523,4.11251099817924,4.13331862866877,3.92236335220005,-1.974153178261,1.44159542151536,-3.13605032483409,-4.13158187690812,4.47237526968436,3.46959918110387,0.0824987524994203,3.26016210213551,6.29873353433909,-0.130249742492646,2.7490457328092,1.67177928506648,-3.74788973650141,4.76379185936584,1.59253192070948,-2.70527668859673,4.50657265924005,1.38480564201275,2.83488378119973,8.92390241098446,-3.65099929708418,-3.60222549854616,4.59776132155407,1.14388166997884,-3.89784617532889,0.754302897450442,5.63873680717413,2.61592531532673,1.54471634617079,4.03794397684286,3.41944340168787,-0.711658271273325,3.22181891324363,5.29547523494316,3.48419118601934,-2.25257754029299,4.51790260275943,2.1706358271527,0.336425430232573,5.22074481103013,5.53339880036439,3.08818804050859
TCGA.4N.A93T.01A.11R.A37K.07,4.20854036196946,0.440058956239607,4.9764006344424,-1.53700368340123,7.03638024736708,3.00584691117136,4.03446114676266,5.00558173725939,3.31259748640466,3.40527424252993,4.75777691385664,-2.27833453370643,5.43131773894699,-5.81852596590692,4.8668519382966,4.4726241916033,4.55171988170558,4.00420170620309,-1.62504909524344,1.61428336128937,-0.192472363622166,-3.94218441054104,4.49728525689166,4.12681601574306,1.2823953964877,4.74100591225024,8.14280836462205,-0.573456606953817,2.97622949127735,2.01693908530505,-3.08557635922894,4.67875192391877,3.35691251414623,-1.55934831937104,4.589963536516,2.60962491279418,3.20418068870658,8.73692101174983,-3.89277867752678,-4.41092292164793,3.91594384789751,-0.238719772602582,-6.37927521740995,1.48563422905757,5.44801031427483,2.47112858976133,1.47389097188019,4.30020308418029,1.00323277512267,-1.02929946037114,2.11270689250194,5.43288322803084,3.1441606067434,-3.25761644135607,5.29864586716188,2.32409820981077,0.441917376346725,4.76418790562603,5.57628863443035,5.44253922022896
TCGA.5M.AATE.01A.11R.A41B.07,4.56240196624495,-0.32809124755747,4.14386372618133,-2.26434479685964,7.00480089262291,3.10903572192755,3.85457659924896,4.97717047073949,1.24065634608412,3.6562740630116,4.1322229139818,-2.26924373369503,4.8676437361496,-5.36835773771687,4.96903260739846,4.55634568297719,4.50392802783465,3.78531399728835,-1.78143899510053,1.56285694491173,-1.35889029489353,-3.77993653903902,4.49300068341108,3.60102875280789,-0.511351906839156,3.89358639365241,6.78350433859964,-0.267040383978499,2.88619083127099,2.01647380815939,-4.23800095102024,4.81245033865108,2.87124762204287,-1.82965378002819,4.53617994215084,2.78319343388708,3.70444849399994,9.15521279896405,-3.50370047991564,-3.12679514222834,3.45816958003894,1.2593267479149,-3.81207797435211,1.19506803556533,5.64899881285222,2.774299111311,1.54811920292503,4.42035377142917,3.9540932169971,-0.122045690690584,3.92599784730254,5.31541156944749,3.71332703441942,-2.10218567910476,5.61044368722399,2.3152273831784,0.400913886731863,5.29967784916882,5.60455829516007,3.82075536280919
TCGA.A6.2672.01B.03R.2302.07,4.88066761009584,0.00546165856771452,5.25026917960179,0.287205365121695,7.08436921939271,3.77485009929565,5.03796652661928,4.83957702279985,6.52715715521106,3.08952172398774,4.89791092809133,-2.12043641658215,5.42653484022913,-3.57301925929442,5.06101999293241,7.65056443185748,5.12273775965525,3.99575278395327,-2.17947823028318,-0.295023691740275,-2.19898481249705,-4.97494454356908,4.71034682676848,3.10754008033893,1.76832317153315,-0.988745667361172,6.50796690466911,-1.68100703279627,2.65972357509104,2.17684280817604,-4.19218838705598,4.78604539717317,1.28701040701588,-3.01253539379341,4.49469417259466,2.54713180001723,2.52731679525728,6.17457584405357,-4.23505454672356,-4.70549602701577,3.13842562313252,0.813147169595028,-5.12657876026184,-1.16255254592101,3.24477946178049,1.48212672497383,1.61881788814188,3.04969943576064,4.65066565545323,-1.1656101584433,1.24556858139544,4.63523501813235,3.01310126597076,-1.14075204678388,2.9692153684997,1.92110806786529,0.298036810226163,4.67487408167372,5.3754142090532,2.70735341598974
TCGA.A6.2672.01A.01R.0826.07,4.18640771371628,-0.898056739103449,2.36501613489311,-3.37298561899831,6.30795583676365,2.97430053838277,3.8758968201096,5.10348656770848,2.0232647555095,3.16704044200732,4.10453348312189,-2.39988947865521,4.03365651764864,-6.33711696748703,4.66548346871955,3.98383694964989,4.87616846895912,2.30504290775471,-2.10886470094958,0.544143950548815,-4.76993627586193,-4.21956411764794,4.65040531191175,3.70442078281617,1.29030746041899,2.64720670652083,7.2583085955406,-0.195828743692921,2.82290917033858,1.96466206947835,-3.92110609842196,4.65953174131887,0.0992633669704563,-3.38849540838882,4.45522826936192,1.28643908732392,2.84058813579625,7.30027646590276,-5.66759544050719,-5.65355099260181,2.35820333199492,-0.553414281843315,-6.97344237628516,-1.13352028816474,4.77034807323857,1.90264676349976,0.860667327094447,3.87261771956375,0.79273903762562,-2.76035580569154,1.44071495731613,5.14391157050063,2.75728595575147,-3.68206288131359,4.56798534744825,2.03340835655892,0.302883206632368,4.69396198290233,5.64478004143534,2.47116956996979
TCGA.A6.2676.01A.01R.0826.07,4.30679995165306,-0.348841441474764,2.00237427484659,-3.70944467788424,6.12809800367995,3.16870104874437,3.82258922180206,5.32576404407496,2.76434637475428,2.46463559615667,4.67057227132861,-2.4342087323723,3.66521337424217,-5.67914086703936,4.66760683534729,3.89992507419494,5.4268087421363,2.93381383409866,-2.24642339292125,-0.15324469402865,-5.95120340244421,-4.17024066770907,4.69711658411928,3.29547831792806,1.70013936151442,3.30754808900865,8.27351745807586,0.301775722058975,2.92137725988298,2.21971691196323,-4.17480475937602,4.72442054359721,0.427010506367042,-3.29477070816313,4.47391906714002,1.1391760669685,3.32650735652203,7.07087864029348,-6.59202092299571,-6.24859341237889,1.8410006774054,-1.52687310239355,-7.68079043172482,-0.681807366506087,4.4231574303275,1.62084913678177,0.275750423966993,3.8421261255639,0.670691584651371,-3.33449856973264,0.547177725895267,5.10651793478381,2.21244836788409,-4.18846841009216,4.47365791388914,1.98937575156789,0.244252617516216,3.96829730415938,5.72558430719497,2.8197769717507
TCGA.A6.2677.01B.02R.A277.07,5.01984825158553,1.66182835005003,7.17530590458637,1.09173850577686,7.30830404829434,4.25869290897633,5.17619718380769,4.84309069259088,6.96305453197754,2.10271923106895,6.20394680660206,-1.69476762100292,6.2437962315462,-1.44403770847081,5.54301219672837,8.05778141015992,3.75436775882211,6.22975887309329,-2.38655013466769,-0.549718345895077,-1.89333937687932,-4.87250095203747,4.72267093252,3.4840779843253,-0.18405252555535,-1.88492311952877,4.83572147954207,-1.55876828294184,2.67179424598168,2.76670703153799,-5.64260943556345,5.12557254948054,2.12698482252356,-2.85425840777411,4.54294213172432,4.20470985622495,3.18826142617003,7.05266999936005,-3.15203006816885,-0.968981275280574,3.09350455187211,2.23765814326852,-1.1983010281168,1.38505088221886,3.54032123784377,0.714191705815873,2.01416364277902,3.47413154117294,7.28701775869155,0.0811129631167482,2.61378189219217,4.46849102321916,3.83599425552547,0.117886679557405,2.94546296736731,1.88652980552183,0.23278953848118,4.60177609363055,5.24460665051306,4.6200914778475
TCGA.A6.2677.01A.01R.0821.07,3.58909959629318,0.526630676776469,5.34390374015895,-2.16038638309575,6.73392772006238,3.40578667182427,3.81769498448123,5.0707223299624,4.68239202857095,2.99918885431349,4.94416706944205,-2.26080474117086,4.91019880123533,-4.52332966405828,5.0196906981612,4.01373505421291,4.03697737467365,4.53547550030658,-2.16224158020063,0.3677487620414,-2.62486502364007,-3.98376752332037,4.45879781133824,3.72812721992061,0.0318050351887296,3.61751110494918,6.33913897567707,-0.107144682986572,2.86623371608075,1.89638198963556,-5.54266441386289,4.87327627175678,2.32416198907843,-2.50556591469873,4.57950832878244,2.68856436537593,3.33596288454084,8.81758040419284,-3.41046064562747,-2.56164393288441,3.600268885909,0.952528390963455,-4.77965064365503,1.52293928427893,5.25316955659431,2.09720717564191,1.24879299577455,4.6413053762414,3.67565369632492,0.198351094873448,3.1852117142357,5.48080602266102,3.40420102214699,-1.68820125479972,5.86408037438346,2.28171358171571,0.348801630869638,5.27333008736834,5.66116464671623,4.4670784372531
TCGA.A6.2678.11A.01R.A32Z.07,5.76103817337008,0.149601191248319,4.86457879565552,0.840463473723853,6.91768603033128,3.49891622283033,4.43612664366427,5.07827771401016,4.38170010708059,4.2532378482113,4.85115455137283,-2.08377411559113,5.70732002771604,-4.6463802006122,4.83491955717237,6.1973690658736,5.10126079906045,5.13625560733064,-1.21325202113788,5.08437429989209,3.84741190178293,-3.34709331199423,4.52714294677618,5.03132806698291,1.56064815105897,1.44516208226656,6.45258633265135,0.212582872888099,3.00294070045755,2.3911302293013,-1.27568150454161,4.73969952890651,5.6687072433358,-1.75776779800945,4.53130824233864,3.75488613000871,2.77814880728101,7.18263217546766,-1.81638237838782,-4.25527180623193,3.91670882028231,1.86180535539096,-5.10007666193448,-0.506028071809159,4.60360852681926,1.18778798779573,1.31258655940249,3.94999765425653,2.30641057198881,-3.20989136694393,1.36941018810212,5.06741110065732,2.9108570607878,-1.79033131467719,5.16048910124864,2.04581762899417,0.333973490798539,4.95120369117029,5.43697151286616,2.22775228036089
TCGA.A6.2678.01A.01R.0821.07,4.52764417607055,0.193578138015493,5.38681776429214,-1.63698902881984,6.66078567241485,3.29791222843579,4.12129908532651,5.09823753089012,5.50776053006677,3.7731646544868,5.35763891970147,-2.20905223609777,4.74348948114849,-5.75013677449846,4.99007105381485,5.44815838539735,3.86504161838718,4.44698951493129,-1.86869043963868,2.20572323113859,-2.91581008301099,-3.42521028188659,4.47458374942512,4.11921910961881,1.81434969976549,3.40468759358982,7.57707840607719,0.34758355282159,2.83945975221995,2.06286446730275,-3.88027193936924,4.80655796329823,2.45611535701238,-2.88229532205791,4.54262355830506,3.03419281198441,3.32711750105995,7.96165163952333,-2.79462855179882,-3.67384017783112,3.96835733801217,1.15838733198639,-5.58946838866983,0.637433821642921,5.46265918458911,2.51038812840871,1.76160483150387,4.53426260555238,2.25535271126942,-0.387092285586142,3.73326994942904,5.60657853651662,4.05133721247026,-1.7204535006517,5.3336420398767,2.35254993995314,0.429796042935273,4.87595246084619,5.59888936453192,4.5181577040931
