,x,sig,IC50_larger
1,Erlotinib,,
2,Rapamycin,,
3,Sunitinib,,
4,Paclitaxel,,
5,Cyclopamine,,
6,AZ628,,
7,Sorafenib,,
8,Imatinib,,
9,Dasatinib,,
10,CMK,,
11,Pyrimethamine,,
12,GW843682X,,
13,Parthenolide,,
14,Bortezomib,,
15,Roscovitine,,
16,Salubrinal,,
17,Lapatinib,,
18,GSK269962A,,
19,Doxorubicin,,
20,Etoposide,,
21,Gemcitabine,,
22,Vinorelbine,,
23,Bicalutamide,,
24,QS11,,
25,Midostaurin,,
26,AZD6482,,
27,DMOG,,
28,Shikonin,,
29,Embelin,,
30,FH535,,
31,Thapsigargin,,
32,Bexarotene,,
33,Bleomycin,,
34,AUY922,,
35,Pazopanib,,
36,Tipifarnib,,
37,AS601245,,
38,AICAR,,
39,Camptothecin,,
40,Vinblastine,,
41,Cisplatin,,
42,Cytarabine,,
43,Docetaxel,,
44,Methotrexate,,
45,ATRA,,
46,Gefitinib,,
47,Vorinostat,,
48,Nilotinib,,
49,RDEA119,,
50,Temsirolimus,,
51,Bosutinib,,
52,Lenalidomide,,
53,Axitinib,,
54,Elesclomol,,
55,PLX4720,,
56,GDC0941,,
57,AZD8055,,
58,SB590885,,
59,CCT007093,,
60,CCT018159,,
