,Erlotinib,Rapamycin,Sunitinib,Paclitaxel,Cyclopamine,AZ628,Sorafenib,Imatinib,Dasatinib,CMK,Pyrimethamine,GW843682X,Parthenolide,Bortezomib,Roscovitine,Salubrinal,Lapatinib,GSK269962A,Doxorubicin,Etoposide,Gemcitabine,Vinorelbine,Bicalutamide,QS11,Midostaurin,AZD6482,DMOG,Shikonin,Embelin,FH535,Thapsigargin,Bexarotene,Bleomycin,AUY922,Pazopanib,Tipifarnib,AS601245,AICAR,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,ATRA,Gefitinib,Vorinostat,Nilotinib,RDEA119,Temsirolimus,Bosutinib,Lenalidomide,Axitinib,Elesclomol,PLX4720,GDC0941,AZD8055,SB590885,CCT007093,CCT018159
GSM4277617,4.51554636930899,-0.432547429991336,3.70237689924949,-3.44338230229953,6.39553184689108,2.92628134543094,3.75003489346776,5.16198459941191,3.67846679790379,3.79122680528564,4.47233153803513,-3.0376685731112,4.82522863870926,-5.07837624032691,4.80902738535201,4.03526634024863,4.5831781109269,3.77078272488931,-2.29891429848422,0.510507995017935,-2.71342542817928,-4.69942590512851,4.48800092698128,3.08873096920808,0.732566614010072,4.21421906656958,6.86800704725192,-0.286349997545442,2.54678462364411,1.41161424175161,-5.91358643509689,4.7005549311198,0.163937409757182,-3.18921762910385,4.7905192186403,2.10567643657938,3.02169762949958,8.29865723035888,-4.31839935239368,-4.48742173059285,3.33162006863417,0.126360720716142,-5.5347862505504,1.15634596569809,5.0916922075062,2.3891177378921,1.01741250328314,4.68629749446259,2.10810662727217,-0.470748427969037,2.50851557740069,5.53630780326547,3.05901357954084,-3.27451047705129,5.63944185298308,2.25731659654604,0.304081451273084,5.17055208721259,5.60064454176794,2.39349665301699
GSM4277618,4.62837013689204,-1.18361438655481,2.94330813802705,-3.18278505105237,6.43841293966354,3.74515017154805,3.8327836064198,5.02794151459628,1.53746665177686,3.45829504054469,4.10569916236521,-2.64045226264638,4.84872090551586,-5.20337082281698,4.76764459342526,3.93443771559793,4.67464995099719,3.7125292107866,-1.85510965249141,1.5235467207484,-2.29915926674451,-3.7969994345357,4.58974580916482,3.71949935765061,0.70480584653037,3.40332148361584,5.96415613778038,-0.288374284766546,2.94645022204331,2.32851774342837,-4.17499844032901,4.78891893580426,1.99756543598729,-2.25494338543349,4.75754672476349,2.1264256906934,3.4770911285326,8.36213876279798,-3.93339006323857,-3.93074577066919,3.24571236368967,1.26250253932517,-4.75050769548771,0.92312444066904,4.72705422509016,1.68882861375333,1.35913224020069,4.11568551766791,3.70077623478487,-1.1685457321754,2.56784599856837,5.16383585723281,3.32556156558926,-2.23604341529634,5.24424936951803,2.18363954476784,0.350021688836812,5.27815395394718,5.58931337840805,3.21894081851375
GSM4277619,4.47726416345954,-0.281667344750899,3.22364391105235,-2.61974768804638,6.53541144948689,2.94548775093686,3.78963036171625,4.95320204621449,2.92766261050215,4.26334637533598,4.38341815489482,-2.15120397161604,5.03572934882573,-4.95043981546269,4.78872903406872,4.22098240095743,4.35045587194957,3.7661043781562,-2.00578172799069,1.24694350986527,-2.514051268066,-4.43235998669648,4.44570188212681,3.57730164758653,0.425655899295334,3.71950257065219,6.22583465365142,0.531460675512605,2.68321893859599,1.86293057971212,-5.00667223795641,4.71358536470864,1.08450393082898,-3.16855696356102,4.48028112401609,2.09337253568299,2.96664064934472,8.38171320605253,-4.0908411084751,-4.35928378663411,3.41317927539794,0.388467286893129,-5.29971940235063,0.926463491865984,5.40542107336406,2.51696672438642,1.04414809685769,4.20590572385805,1.87827526258456,-1.16897370809534,2.76340106518601,5.47385661722212,3.13763327512296,-3.14114874999775,5.13964375073221,2.19905237960241,0.318863265432293,4.93229922007264,5.59027356100876,2.70352838134092
GSM4277620,4.36923028901065,-0.636768583690122,3.04462857687657,-2.69625476598428,6.37724432880636,3.02865201452617,3.82765169141928,5.00170517245159,3.2099200780637,3.8681286286861,4.31569566600321,-2.65282118673781,4.57039925414422,-5.55029031844539,4.83588137574253,3.92631647362888,4.53884364881342,3.69112819497256,-2.12854901690168,0.365797636284051,-2.67340083564844,-4.47831588820584,4.61553864824301,3.10939483992009,0.26309648023922,3.33668199546578,7.15308733116623,-0.221359810581193,2.53371484870404,2.03266052362252,-4.83300676411979,4.77978358467143,0.644510811285093,-2.91725616219275,4.42838329750121,2.15510232390938,3.12505562941425,8.02045218623458,-4.69977525894938,-4.84402058520832,3.17761286457358,-0.394508473976155,-6.04551134230936,-0.150352982070693,4.87968663490468,2.47356602566474,0.807332656368017,4.16441894995102,3.03892581353031,-1.18991945741333,2.86826641467928,5.40758224776216,2.99394890493163,-3.43638802314177,4.93070753755741,2.16256544611614,0.295920435039413,5.20366420357133,5.59602087138681,3.34819409335897
GSM4277621,4.46605303304741,-0.881917451795761,4.14294128658988,-2.6295598933688,6.35863875755437,1.73220768622595,3.65102304660747,5.0411834277223,4.07285823679892,3.99488756740545,3.90625766435082,-2.417987812318,5.02230585553921,-4.38416330674435,4.76133653410407,3.87854922028289,4.14264382272995,3.93331332046812,-1.72622115955879,2.07811665940526,-2.38462475979516,-4.20020132301611,4.44956974858729,3.6691210236479,0.918033742687211,4.50707981180404,8.25159923538759,0.412230557493537,3.12683314492922,1.85853727944527,-3.72792946877791,4.77071825157507,2.32961124894449,-1.80026120810643,4.99482381978349,1.8935083202619,2.48310079207313,8.14595975396986,-3.76657257387399,-4.04998314760207,4.24875527531718,-0.202736221722362,-5.11119702695345,0.812557491077364,5.60476222471071,1.71002059293537,1.46357547865637,4.21151881305481,1.68735867727285,-1.45114900170373,2.3548544667628,5.35752501292108,3.64061164205825,-2.54982059515311,4.88048146828899,2.52278768240665,0.446835332258606,4.24913722866187,5.68907384570834,3.3219530959631
GSM4277622,4.46897759150643,-0.755979887581367,3.34211495917309,-3.11591330369237,6.42154990089485,3.05686756065545,3.80579085047068,5.09077100731053,3.26191077684778,3.2317014361702,4.37215211965926,-2.81466059741081,4.40602347773389,-5.22952646918012,4.87815517889241,4.10416824573838,4.53175392377418,3.77585954391689,-2.03055451073851,1.13655194908067,-2.71145247625822,-3.88656845289796,4.50994081498179,3.45858858604453,0.291132496239759,3.76882061375078,6.622984844854,0.284727123165265,2.71032093680263,2.29060094096792,-5.17315426253267,5.02886457416522,1.44906770267041,-2.82384855420027,4.55847300349757,2.17096923903047,3.35299763977168,7.77505958853478,-4.73378937204409,-4.10549776726267,2.98999645552786,-0.293322686652539,-5.95858642307122,0.575444994601501,5.28963819576314,2.61698285232549,0.464961149670398,4.25400760929955,2.23932197594875,-0.483927776399955,2.69537186885504,5.41679858381105,3.20977380990247,-2.98920077523527,4.95209457332788,2.20648114973967,0.331386310710292,5.28194280944081,5.64470780979869,3.58905570687677
GSM4277623,4.43493524869538,-0.924864454990347,2.48072803435652,-3.92644479923917,6.45368565951356,2.66945434289982,3.87744473091111,5.00409365682143,1.26325970012623,3.97676180249057,4.50979954317971,-3.00634672015782,4.4320597891209,-5.70121279283212,4.70995305275114,4.10782616279143,4.51282138020187,3.64787209885465,-1.94819266295219,1.20445857926561,-2.5589734363641,-4.11738740273384,4.4990737460929,3.99862754477323,0.922605156449359,3.08795277433498,6.21587608541397,0.340959577692468,2.85625716112611,2.1742958106122,-4.42595290111966,4.6733201829527,0.984361349626946,-3.09678236459425,4.56255565461558,2.07300111926937,3.17733211013352,7.71650131817403,-4.79976836226651,-5.16976718058532,3.11982716893296,0.256721084794624,-5.53325330729944,0.463466860869895,4.97947420592683,1.62012086347274,1.56050912500829,4.00675419269177,1.85720240550528,-1.76025732596329,2.44301896443362,5.26385927474015,3.23922815923629,-3.25049550869126,4.80414494305476,2.10044372341511,0.332591977960277,4.72841116094312,5.62232735467601,2.55534575340245
GSM4277624,4.596282909014,-0.257773674236089,4.10767614780195,-2.52644793369963,6.55750177118698,3.34915612360421,3.71160236489486,5.04401717981855,2.79848798954405,3.34269888999885,4.23064430318863,-2.2802788557222,4.77177453175211,-4.38434526870305,4.89429367534963,4.07092686472315,4.49633995359445,3.84355223461056,-1.83382606571395,2.23987084187592,-2.48591625367496,-3.49181151580835,4.53071860382413,3.50016628666821,0.768843437078646,4.13461119684832,7.06430604545634,0.391223719924849,3.19155125225464,2.20449182399569,-4.8549014324067,4.93855979824759,2.80564840924233,-1.92750157481131,4.58276768021261,2.12094485945382,3.58841397966131,7.91708588393629,-4.1235330745939,-3.60080065928771,3.18422615797419,0.379203883215443,-5.08947459459887,0.411282840563972,5.13026113578077,2.29212437293612,0.986986814387223,4.27637536306862,2.89040873006284,-0.983565124023716,2.60818208076207,5.4380496464559,3.27395231200648,-2.16020172871518,5.01460398100091,2.30865351408313,0.316884585354256,5.19929284811887,5.64850436357543,3.17002341796054
GSM4277625,4.79096110290225,-0.577119278499511,2.51075592079747,-2.40490785637979,6.43874032815871,3.0581056852499,4.04437135947131,4.90589255216558,-0.0912193864797715,3.34421206070436,5.02893443956679,-1.46115578016479,4.57444255890893,-5.48093182878148,4.84300161146983,4.31167064880474,4.82508488973593,3.09326407424221,-2.19428204081671,0.93840811617007,-2.79145023693676,-3.82912504700397,4.63559489305633,3.90630686176683,-0.727789406687947,1.74271624348492,4.74834117389921,-0.20457149661709,2.70320071573879,2.37972443709526,-4.69066747232078,4.23786873589429,1.10026629132848,-3.21108424092427,3.41593454406907,2.26819660336927,3.38911759403263,7.70728378562746,-5.83738905240895,-5.51631977822841,2.63183875349647,0.230099607861883,-6.38621823431307,0.963289205948856,4.68411202730481,1.94863629668831,0.851900768458099,3.71496727399088,2.84612654567287,-4.45081126252096,2.27241527429883,5.27107279253127,2.2502199760145,-5.1561699129364,4.24893936127024,1.63187685105434,0.0844721313999219,4.84878889334104,5.46122788884587,3.14072525130079
GSM4277626,4.70352427223643,-0.80147314397952,3.2554960410493,-2.80408642437916,6.49607837961232,4.1317113668511,3.84571726398504,5.22953431139658,3.63440996853817,3.23900644980153,4.50979553048615,-2.36588201572143,4.55835902929333,-5.50409251082082,4.79811699002234,4.01640112557088,4.58535389934257,3.84625807480681,-1.92259813556945,1.94493350578132,-2.56546631035517,-3.58419210110068,4.64463316196238,3.71503095536918,1.02838771033506,3.49062886591542,7.13838131077889,-0.31340403419283,3.21046737672776,2.51486059318482,-2.67429833877438,4.80870158121861,2.87177525345743,-2.68739911283789,5.19245408804054,1.98083814470303,3.54244852925486,8.26830228606749,-4.20397906655061,-4.06742045124364,3.8306534473193,1.23691709153856,-5.08904798887,0.639312012158351,5.15645959909347,2.25455303348195,1.15489179916747,4.58878074897475,2.52896935808285,-0.917346765983812,2.24638977064899,5.45853039316592,3.45023130186059,-1.64962626581943,5.56269691108224,2.30983210696188,0.397804074684559,4.98934245532698,5.63915200725297,2.96455622662151
