Officel.Gene.Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	g
PPP1R1B	-5.630129234	2.094705855	-30.06521241	1.54E-21	2.01E-17	35.55612078	DOWN
TMEM176B	-8.231917834	2.843734683	-29.85414895	1.83E-21	2.01E-17	35.43772058	DOWN
EPCAM	-7.088483084	2.646636528	-20.33196111	2.37E-17	1.27E-13	28.30506823	DOWN
PHGR1	-7.132398205	2.47722814	-20.17758842	2.85E-17	1.27E-13	28.15277976	DOWN
CXCL1	-7.122490869	2.473925695	-20.16199368	2.91E-17	1.27E-13	28.13731362	DOWN
TAGLN	-9.424355376	3.363157638	pplementary	1.59E-16	5.79E-13	26.71734507	DOWN
KRTCAP3	-5.914998571	2.071428262	-17.29523227	1.15E-15	3.60E-12	25.01672732	DOWN
TSPAN1	-7.610772749	2.900278759	-16.34278735	4.38E-15	1.20E-11	23.8442865	DOWN
MMP1	-6.003056441	2.113425099	-15.91882714	8.11E-15	1.98E-11	23.29797394	DOWN
PDZK1IP1	-6.919139781	2.406141999	-14.350504	8.97E-14	1.93E-10	21.13491765	DOWN
KRT19	-9.356565025	3.21861708	-14.30337222	9.67E-14	1.93E-10	21.06624509	DOWN
GPX2	-9.915798011	3.405028075	-14.11602132	1.31E-13	2.39E-10	20.79104339	DOWN
TGFBI	-7.167232864	2.762314008	-13.9840037	1.62E-13	2.73E-10	20.59496357	DOWN
PRSS3	-6.8807029	2.393329705	-13.08105831	7.34E-13	1.07E-09	19.2043677	DOWN
ITM2C	-4.413014532	1.593191219	-13.07165852	7.46E-13	1.07E-09	19.18942392	DOWN
THY1	-6.475125846	2.264123261	-12.99854074	8.46E-13	1.07E-09	19.07284346	DOWN
C1QB	-7.205359435	2.50154855	-12.97636395	8.79E-13	1.07E-09	19.03736565	DOWN
SDC4	-6.128817324	2.676124851	-12.97530598	8.81E-13	1.07E-09	19.03567176	DOWN
CLDN7	-7.2349171	2.579387346	-12.5073627	2.00E-12	2.30E-09	18.27393542	DOWN
TSPAN8	-7.195843387	3.133701317	-11.76583222	7.66E-12	8.13E-09	17.01399683	DOWN
ATP1B1	-5.410089908	2.424071701	-11.75687713	7.79E-12	8.13E-09	16.99837253	DOWN
LGALS3BP	-8.704597391	3.509178782	-11.65897815	9.35E-12	9.31E-09	16.82691441	DOWN
CEACAM5	-9.249287821	4.009794655	-11.59383404	1.06E-11	1.01E-08	16.71215993	DOWN
