,logFC,AveExpr,t,P.Value,adj.P.Val,B,g
PPP1R1B,-5.63012923393343,2.09470585478899,-30.0652124113126,1.53636272957325e-21,2.00807209823829e-17,35.5561207800409,DOWN
TMEM176B,-8.23191783431059,2.84373468302794,-29.8541489500789,1.83209899022698e-21,2.00807209823829e-17,35.4377205774079,DOWN
EPCAM,-7.08848308371202,2.6466365281521,-20.3319611144515,2.37309002669699e-17,1.27496614714551e-13,28.3050682328098,DOWN
PHGR1,-7.13239820485323,2.47722813987548,-20.1775884204305,2.85416951788381e-17,1.27496614714551e-13,28.1527797576775,DOWN
CXCL1,-7.12249086918463,2.47392569465262,-20.1619936819662,2.90809303212788e-17,1.27496614714551e-13,28.1373136238517,DOWN
TAGLN,-9.42435537555253,3.36315763767031,-18.7918894724656,1.5860977989839e-16,5.79480830858767e-13,26.717345070862,DOWN
KRTCAP3,-5.91499857124756,2.07142826200693,-17.2952322725269,1.14934319202359e-15,3.59925030176417e-12,25.016727318604,DOWN
TSPAN1,-7.61077274862128,2.90027875910157,-16.3427873506211,4.37904432442664e-15,1.19991288294695e-11,23.8442864983913,DOWN
MMP1,-6.00305644067708,2.11342509880269,-15.9188271438319,8.11144848878481e-15,1.97567847025169e-11,23.2979739386,DOWN
PDZK1IP1,-6.91913978103016,2.40614199860113,-14.3505039950347,8.97177148131453e-14,1.92796192458447e-10,21.1349176499547,DOWN
KRT19,-9.35656502488967,3.21861707988763,-14.3033722198439,9.67455005265688e-14,1.92796192458447e-10,21.0662450912855,DOWN
GPX2,-9.91579801088637,3.40502807521987,-14.1160213226582,1.30817855281735e-13,2.3897151713591e-10,20.7910433856692,DOWN
TGFBI,-7.16723286428675,2.76231400782086,-13.9840037012744,1.6211407585952e-13,2.73361742839734e-10,20.5949635690862,DOWN
PRSS3,-6.88070289988811,2.39332970488711,-13.0810583107005,7.34144552775195e-13,1.07255484073876e-09,19.2043676998114,DOWN
ITM2C,-4.41301453173592,1.59319121946533,-13.0716585212613,7.46085389158453e-13,1.07255484073876e-09,19.1894239196365,DOWN
THY1,-6.47512584648013,2.2641232609111,-12.9985407406789,8.46101472567065e-13,1.07255484073876e-09,19.0728434567375,DOWN
C1QB,-7.20535943530556,2.50154855002626,-12.9763639466887,8.79100318585015e-13,1.07255484073876e-09,19.0373656532987,DOWN
SDC4,-6.12881732359608,2.676124851168,-12.9753059790215,8.80707409940136e-13,1.07255484073876e-09,19.0356717627343,DOWN
CLDN7,-7.23491710012282,2.57938734582944,-12.5073627035091,1.99742218567902e-12,2.3044995648563e-09,18.2739354240126,DOWN
TSPAN8,-7.19584338676995,3.13370131710911,-11.7658322217105,7.66212142050134e-12,8.13202953268884e-09,17.0139968334144,DOWN
ATP1B1,-5.4100899082711,2.42407170052034,-11.756877133682,7.79036632391157e-12,8.13202953268884e-09,16.9983725272743,DOWN
LGALS3BP,-8.70459739056687,3.50917878207475,-11.658978145124,9.34583012017417e-12,9.31227009383354e-09,16.826914405206,DOWN
CEACAM5,-9.24928782119805,4.00979465506385,-11.5938340421949,1.05555886732478e-11,1.00603938828811e-08,16.7121599301153,DOWN
ILK,-5.52652464821002,2.30762297253062,-11.4137757271787,1.48141178396416e-11,1.35308448817827e-08,16.392201425403,DOWN
GPA33,-5.40722939740585,2.16914686074379,-11.3258542542595,1.75036534810924e-11,1.53479035183611e-08,16.2344735753517,DOWN
KRT18,-8.4235138006885,4.29038537488709,-11.0791908466336,2.80835541548262e-11,2.36776765626133e-08,15.7866722238834,DOWN
IGLL5,-6.83586501180184,2.37838374219169,-10.8589430152421,4.30910846374317e-11,3.49851728273015e-08,15.3801431758702,DOWN
CA4,-2.07808349263318,0.79245656913547,-10.5912105165589,7.30760958704174e-11,5.72107534848364e-08,14.8773393962213,DOWN
RAB25,-5.17792713426559,1.82573778301294,-10.4287953292878,1.01101538903098e-10,6.98503091556713e-08,14.5676456732114,DOWN
RGS1,-5.40012045441308,1.9114113972932,-10.4178375274057,1.03352213031007e-10,6.98503091556713e-08,14.5466230140548,DOWN
TMED9,-7.75060860912847,3.54353123580434,-10.4015653538321,1.06790100945706e-10,6.98503091556713e-08,14.5153746454575,DOWN
KRT20,-6.03210807940933,2.11982953216626,-10.397365288063,1.07696449868478e-10,6.98503091556713e-08,14.507303192154,DOWN
HMGCS2,-6.41776546578786,2.2390172268537,-10.3923784897211,1.08782870020404e-10,6.98503091556713e-08,14.4977167314897,DOWN
ABRACL,-5.80216334258865,2.73581613070152,-10.377074768281,1.12187963113828e-10,6.98503091556713e-08,14.4682762716877,DOWN
PRDM1,-3.12961500070079,1.24421338511793,-10.3623290269475,1.15572833665857e-10,6.98503091556713e-08,14.4398791259065,DOWN
CYBA,-6.79577310444777,3.09809094826631,-10.3596312332317,1.16203406925526e-10,6.98503091556713e-08,14.4346805534658,DOWN
PRR15L,-6.15169556753349,2.15032726076891,-10.3524515651427,1.17898884118418e-10,6.98503091556713e-08,14.4208407133005,DOWN
