Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	Number	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	1	616	0.2%	No
RNA5SP217		6q22.33	HOMDEL	2	616	0.3%	No
ZNF728		19p12	HOMDEL	3	616	0.5%	No
LINC02901		6q25.3	AMP	3	616	0.5%	No
UPF3B		Xq24	HOMDEL	1	616	0.2%	No
C20ORF27		20p13	AMP	5	616	0.8%	No
C11ORF53		11q23.1	AMP	1	616	0.2%	No
HNRNPA1P57		2p22.1	HOMDEL	2	616	0.3%	No
NAT2	6.103e-20	8p22	HOMDEL	43	616	7.0%	No
CT47A11		Xq24	HOMDEL	1	616	0.2%	No
OXR1		8q23.1	AMP	32	616	5.2%	No
ZNF883		9q32	AMP	1	616	0.2%	No
B3GALT6		1p36.33	AMP	1	616	0.2%	No
CRLF3		17q11.2	AMP	3	616	0.5%	No
BROX	1.892e-2	1q41	AMP	4	616	0.6%	No
SNX25		4q35.1	AMP	1	616	0.2%	No
TRIM27		6p22.1	HOMDEL	1	616	0.2%	Yes
AOC3		17q21.31	HOMDEL	1	616	0.2%	No
NSMF		9q34.3	HOMDEL	2	616	0.3%	No
PRKDC		8q11.21	HOMDEL	1	616	0.2%	Yes
ZNF114		19q13.33	HOMDEL	1	616	0.2%	No
TSEN34		19q13.42	AMP	1	616	0.2%	No
LRRC37A4P		17q21.31	AMP	2	616	0.3%	No
SMC1A		Xp11.22	HOMDEL	2	616	0.3%	Yes
SNORD3C		17p11.2	HOMDEL	4	616	0.6%	No
AQP7		9p13.3	AMP	1	616	0.2%	No
ANKRD20A19P		13q12.12	AMP	34	616	5.5%	No
LINC02901		6q25.3	HOMDEL	1	616	0.2%	No
POT1		7q31.33	HOMDEL	1	616	0.2%	Yes
FOXR1		11q23.3	AMP	2	616	0.3%	No
MRPS2		9q34.3	AMP	4	616	0.6%	No
SACS		13q12.12	HOMDEL	1	616	0.2%	No
DAZAP1	9.757e-6	19p13.3	HOMDEL	4	616	0.6%	Yes
RSL1D1		16p13.13	AMP	1	616	0.2%	No
SYNC		1p35.1	AMP	1	616	0.2%	No
GSX2		4q12	AMP	1	616	0.2%	No
RNA5SP345		11q21	HOMDEL	1	616	0.2%	No
ZNF512B		20q13.33	AMP	47	616	7.6%	No
TRIM64B		11q14.3	AMP	1	616	0.2%	No
FAM200B		4p15.32	AMP	1	616	0.2%	No
CLGN		4q31.1	HOMDEL	2	616	0.3%	No
RMDN1		8q21.3	AMP	24	616	3.9%	No
SMIM26		20p11.23	HOMDEL	2	616	0.3%	No
TMEM131L		4q31.3	HOMDEL	3	616	0.5%	No
AR		Xq12	AMP	1	616	0.2%	Yes
CFHR5	1.892e-2	1q31.3	AMP	5	616	0.8%	No
NOC2L		1p36.33	AMP	1	616	0.2%	No
